Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income/(Expense) - Net - Finance,Non-Interest Business Revenue/(Expense) - Net - Total,Revenue from Business Activities - Total,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM","Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Fee Revenue - %,Efficiency Ratio - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income/(Expense) - Net - Finance,Non-Interest Business Revenue/(Expense) - Net - Total,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Loan Loss Coverage Ratio,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2016-09-30,COF,Capital One Financial Corp,18.26,33.1,49.055,65.07,81.465,94.635,103.86,110.71,116.065,120.39,61.64436340332031,61.95331520457635,60.61452188328983,60.82049411581457,3198800.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-03,COF,Capital One Financial Corp,18.235,32.895,48.65,64.48,80.715,93.775,102.945,109.77,115.115,119.43,61.90180206298828,62.37381344993365,61.41262960175821,61.4469582978569,3557400.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-04,COF,Capital One Financial Corp,18.24,32.915,48.675,64.495,80.72,93.765,102.93,109.745,115.075,119.395,62.44247055053711,62.84582454340152,62.01337167260123,62.18500860476388,4098400.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-05,COF,Capital One Financial Corp,21.645,38.92,57.44,76.03,95.06,109.665,119.525,126.6,131.98,136.215,63.24916458129883,63.56670007089368,62.657012651417205,62.657012651417205,3126200.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-06,COF,Capital One Financial Corp,18.26,32.955,48.705,64.51,80.715,93.82,103.055,109.935,115.32,119.675,62.68277359008789,63.292093295774094,62.124943661703846,63.1891071936396,3262300.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-07,COF,Capital One Financial Corp,17.06,31.03,45.985,60.95,76.26,88.865,97.87,104.665,110.03,114.41,62.691375732421875,63.257783090947484,62.382423883214415,62.76861042095769,2695100.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-10,COF,Capital One Financial Corp,17.02,30.98,45.93,60.925,76.37,88.965,98.02,104.9,110.29,114.705,62.931644439697266,63.41223309869817,62.85440323519817,63.16335495813572,1760100.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-11,COF,Capital One Financial Corp,17.595,31.99,47.395,62.835,78.75,91.615,100.8,107.74,113.14,117.545,61.927555084228516,63.02604719744712,61.661509319521585,62.86298752367798,2254700.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-12,COF,Capital One Financial Corp,18.225,32.9,48.62,64.415,80.715,93.78,103.04,110.0,115.395,119.79,61.841732025146484,62.15926757160676,61.56710898815073,61.61860530901408,2231700.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-13,COF,Capital One Financial Corp,17.865,32.435,48.02,63.645,79.745,92.695,101.92,108.86,114.25,118.64,60.992130279541016,61.52421538514935,60.50295769201744,61.22384085361809,4824400.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
