Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income/(Expense) - Net - Finance,Non-Interest Business Revenue/(Expense) - Net - Total,Revenue from Business Activities - Total,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM","Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Fee Revenue - %,Efficiency Ratio - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income/(Expense) - Net - Finance,Non-Interest Business Revenue/(Expense) - Net - Total,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Loan Loss Coverage Ratio,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2016-10-14,COF,Capital One Financial Corp,18.27,33.06,48.875,64.75,81.13,94.24,103.525,110.49,115.89,120.275,61.386871337890625,61.96186214028908,61.1294159945543,61.54134716290357,2872600.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-17,COF,Capital One Financial Corp,18.61,33.615,49.64,65.73,82.32,95.535,104.855,111.825,117.21,121.58,61.60142517089844,62.09918137042911,61.56709647980718,61.71299505382709,3899900.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-18,COF,Capital One Financial Corp,18.235,32.95,48.665,64.44,80.715,93.755,103.01,109.955,115.345,119.725,61.781673431396484,62.451066837277665,61.49847306181455,62.34808726562287,3121000.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-19,COF,Capital One Financial Corp,18.24,32.95,48.66,64.435,80.715,93.765,103.015,109.96,115.35,119.73,63.18051528930664,63.292078630120606,61.84172246189579,61.876051154652856,3347600.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-20,COF,Capital One Financial Corp,18.24,32.955,48.67,64.44,80.71,93.75,102.995,109.945,115.325,119.71,63.9443244934082,64.57080526568376,62.95739564318128,63.30067609728587,4502800.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-21,COF,Capital One Financial Corp,18.265,32.98,48.69,64.455,80.715,93.75,102.995,109.935,115.32,119.7,64.27044677734375,64.45066756906346,63.24918907673438,63.35217519237323,3947400.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-24,COF,Capital One Financial Corp,17.93,32.685,48.38,64.075,80.22,93.2,102.425,109.36,114.74,119.125,64.70812225341797,64.99132912869116,64.56223018343977,64.7252833303147,3107600.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-25,COF,Capital One Financial Corp,16.88,30.74,45.48,60.235,75.415,87.855,96.825,103.66,109.02,113.425,64.69952392578125,65.0342205041853,64.3734111576649,64.61370546549051,4391800.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-26,COF,Capital One Financial Corp,17.14,31.2,46.145,61.095,76.49,89.055,98.085,104.94,110.31,114.705,64.7338638305664,65.36035113949399,62.605530290097484,63.06038064871803,4732300.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-27,COF,Capital One Financial Corp,17.955,32.735,48.425,64.105,80.22,93.185,102.395,109.325,114.7,119.075,64.19319915771484,65.10288674607519,63.76410025037057,64.96557195291075,2693300.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-28,COF,Capital One Financial Corp,18.305,33.075,48.77,64.495,80.71,93.065,101.9,108.565,113.705,117.78,64.04731750488281,64.44208781842221,63.46374257453514,64.24470593541824,3780500.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-10-31,COF,Capital One Financial Corp,18.295,33.125,48.865,64.62,80.845,93.205,102.04,108.695,113.825,117.895,63.540958404541016,64.48497456371058,63.369314936264566,64.47639075341455,3469500.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-01,COF,Capital One Financial Corp,17.99,32.575,48.05,63.535,79.495,91.72,100.485,107.13,112.255,116.335,62.8458251953125,63.944317286618514,62.15068055352562,63.87565989402955,3967300.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-02,COF,Capital One Financial Corp,18.425,33.615,49.69,65.725,82.2,94.71,103.61,110.295,115.43,119.49,62.3137321472168,62.940212767683796,61.95329070413756,62.71708609198435,4032200.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-03,COF,Capital One Financial Corp,18.32,33.12,48.81,64.515,80.705,93.05,101.88,108.54,113.67,117.745,62.06486129760742,62.87156928144977,61.91896925085741,62.47679910037544,5653300.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-04,COF,Capital One Financial Corp,18.33,33.135,48.82,64.525,80.71,93.055,101.88,108.535,113.665,117.74,62.73426055908203,63.240600687497526,61.71300958563464,62.133524692348274,3646700.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-07,COF,Capital One Financial Corp,18.34,33.16,48.84,64.535,80.715,93.05,101.88,108.53,113.66,117.735,64.2275161743164,64.36483095650429,63.74692753171718,63.74692753171718,4126500.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-08,COF,Capital One Financial Corp,17.975,32.56,47.975,63.395,79.27,91.45,100.19,106.815,111.935,116.01,62.51112365722656,63.41223395251572,62.04770261410988,63.41223395251572,6617900.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-09,COF,Capital One Financial Corp,18.17,33.02,48.69,64.335,80.42,92.705,101.495,108.14,113.255,117.32,65.84207916259766,66.15273693110747,63.210119341524276,63.55529537138909,13256900.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-10,COF,Capital One Financial Corp,16.99,30.96,45.67,60.33,75.385,87.105,95.62,102.13,107.21,111.285,68.3704605102539,68.76741050277134,66.16133863475824,66.16133863475824,7306100.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-11,COF,Capital One Financial Corp,17.14,31.26,46.155,60.925,76.035,87.735,96.27,102.845,107.99,112.09,69.88923645019531,70.11360181944909,67.93900438906994,67.9562602250045,4614800.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
2016-11-14,COF,Capital One Financial Corp,17.315,31.275,46.02,60.69,75.74,87.39,95.9,102.46,107.59,111.685,72.27957153320312,72.33134562247716,69.85471520782325,69.88060883614405,5506700.0,5277.0,932.0,6209.0,1588.0,2594.0,1512.0,1016.0,234006.0,66530.0,345061.0,225981.0,44336.0,32959.0,308379.0,8211.0,612.0,184.0,1967.0,90.63,59.45,1.92,505.9,0.0,2.24,11.89,50.07,24.35,32.8,16.36,8.2,1.18,5277.0,932.0,6209.0,1.92,489.22,225981.0,234006.0,345061.0,14.7,12.0,10.6,2.7,275945.58,10.1,2.57,4.01,1.81,0.64,3.52,24.94,70.64,1.06,2.5,17.35,55.39,124.14,0.79,20.76,481.68
