Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2021-04-15,AES,The AES Corporation,18.4627,29.3085,40.9968,57.3535,75.0532,100.088,117.7145,110.3063,104.4988,99.8256,24.95929527282715,25.116765761851937,24.81057175377691,24.93304935700692,4727800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-16,AES,The AES Corporation,18.4717,29.1853,41.3148,57.893,75.9384,100.4587,117.7401,110.2204,104.3234,99.5835,25.046777725219727,25.239244432720692,24.941797401702978,25.1780056325639,5055200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-19,AES,The AES Corporation,18.539,29.1814,41.8158,57.6981,76.4704,102.4784,120.7759,113.1298,107.1188,102.2766,24.793073654174805,25.10801795904204,24.57436270215748,24.994287329559032,5036800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-20,AES,The AES Corporation,18.2346,29.1785,41.8043,58.2043,77.1053,102.3026,120.0333,112.4212,106.4437,101.6324,24.714336395263672,24.976788857672055,24.52187136740633,24.679341843672123,5736900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-21,AES,The AES Corporation,19.245,30.4709,43.5799,59.7617,78.968,104.0216,121.6518,113.859,107.7373,102.8112,24.836816787719727,24.87181134325522,24.355653329532434,24.52187413106153,3878000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-22,AES,The AES Corporation,19.5661,30.4829,43.5715,60.6835,79.5595,104.2297,121.5968,113.7654,107.6193,102.6733,24.775575637817383,25.2479920810133,24.758078361706698,25.081771295225984,4960600.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-23,AES,The AES Corporation,19.4994,30.5226,43.7854,60.9158,79.21,104.6313,122.5181,120.8583,119.557,118.5106,24.75808334350586,24.93305280255571,24.644354363166155,24.696844533428138,3297100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-26,AES,The AES Corporation,19.8717,31.1118,43.49,60.4302,79.646,104.7568,122.4182,120.6963,119.3517,118.2744,24.679344177246094,24.880559530659454,24.486879131190072,24.880559530659454,3420100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-27,AES,The AES Corporation,19.7358,30.7952,43.241,60.0472,79.5048,104.6246,122.2935,121.6616,121.1654,120.7657,24.32065773010254,24.749332673851452,24.241921652159448,24.731835396834725,2982300.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-28,AES,The AES Corporation,19.9165,30.4091,43.3032,60.2987,79.7372,103.9819,121.0409,120.29,119.7206,119.2764,24.46938133239746,24.51312452509108,24.25067037482591,24.29441356751953,3352200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-29,AES,The AES Corporation,20.0202,30.1932,42.7397,60.3249,79.1604,110.986,133.2093,130.6314,128.589,126.9332,24.540630340576172,24.90126313027523,24.435080180400107,24.602201546960465,5413800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-04-30,AES,The AES Corporation,19.242,29.0216,42.4877,59.7888,78.6367,110.6828,133.0532,130.5634,128.5848,126.9769,24.470258712768555,24.575810532107248,24.223973930460357,24.32072794735747,5369000.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-03,AES,The AES Corporation,19.6638,30.2673,43.0974,61.0727,80.1494,112.0267,134.2769,131.6997,129.6492,127.9813,24.056848526000977,24.69895046993834,24.048052402122355,24.62858315659848,5982100.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-04,AES,The AES Corporation,19.3939,31.4438,43.5723,60.6846,80.6968,106.8032,125.124,122.2113,120.0,118.2743,23.493913650512695,23.968894381154964,23.36197511789744,23.968894381154964,8082200.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-05,AES,The AES Corporation,19.9514,32.083,44.6066,60.9944,80.8391,106.3746,124.3009,121.3223,119.0707,117.3201,23.282808303833008,23.907319728726257,23.133277541057655,23.661033273070025,8271700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-06,AES,The AES Corporation,19.6745,31.4184,43.1698,61.0701,82.1712,108.2719,126.5915,122.0295,118.461,115.5974,22.385629653930664,23.194854815899795,21.840281569210134,22.85181260224916,16043700.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-07,AES,The AES Corporation,20.1215,31.6747,43.9371,61.8167,83.3911,108.6905,126.458,121.7697,118.1124,115.1843,22.684690475463867,22.869404087805187,21.92824041877583,22.491179059461167,10752300.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-10,AES,The AES Corporation,19.9222,30.9988,43.9124,63.4973,85.0563,110.1834,127.8182,126.0445,124.6559,123.5401,22.631914138793945,23.010139174143,22.20971015046038,22.44720052303158,7076800.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
2021-05-11,AES,The AES Corporation,20.4754,32.5681,45.1815,64.571,86.8605,112.5244,130.4413,128.6216,127.1792,126.008,22.288869857788086,22.394419998267466,21.910644886076973,22.236094787548396,5083900.0,2635.0,664.0,625.0,900.0,-29.0,1886.0,2073.0,35203.0,19884.0,2334.0,253.0,748.0,432.0,779.0,-279.0,2.47,-0.22,666.0,0.28,25.2,34.16,23.72,0.34,88.89,-1.1,4.91,-10.22,-0.31,0.7,2635.0,625.0,900.0,-29.0,-0.22,666.26,56.48,74.79,350.81,3.29,-146.53,0.38,61.64,17912.08,19884.0,1043.0,3324.0,2073.0,40090.08,0.29,1.78,0.51,6.68,3.41,0.24,-10.22,-7.98,-26.31,1.24,1.15,0.03,7.14,51.24,7.48,48.95,15.67,23.35,25.65
