Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Net Premiums Earned,Investment Income/(Expense) - Net - Insurance,Revenue from Business Activities - Total,Insurance Claims/Reserves - Total,Underwriting Expenses,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Investments including Loans - Total,Total Assets,Insurance Reserves - Total,Debt - Total,Earning Assets,Tangible Total Equity,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Loss Ratio - Insurance - %,Expense Ratio - %,Combined Ratio - Insurance - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Net Premiums Earned,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Investments including Loans - Total,Tangible Total Equity,Total Assets,Claims Ratio - Insurance - %,Operating Ratio - Insurance - %,Investment Ratio - %,Operating Income Percentage of Net Premiums Earned,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2019-10-14,AIG,American International Group Inc,10.555,23.86,36.14,53.185,72.145,89.13,101.23,109.135,115.335,120.215,47.07756042480469,47.199140019656554,46.573873058590465,46.8170322482942,1980600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-15,AIG,American International Group Inc,10.975,23.145,36.005,51.875,70.79,88.375,100.885,108.475,114.37,119.055,47.485721588134766,47.74624975507337,47.147034639835034,47.19913828554553,2215500.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-16,AIG,American International Group Inc,10.85,23.21,35.99,51.96,70.77,88.475,101.065,108.675,114.59,119.29,47.19045639038086,47.3815119292522,46.63466207307744,47.21650821375588,3429200.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-17,AIG,American International Group Inc,10.835,23.305,36.005,51.965,70.565,88.405,101.095,108.76,114.71,119.43,46.947296142578125,47.60730105124448,46.8257132397228,47.51177328397012,2494600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-18,AIG,American International Group Inc,10.165,23.16,35.295,50.995,69.85,87.43,99.94,107.54,113.455,118.16,46.869144439697266,47.138355483259566,46.773616657996115,46.808354635486694,2344000.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-21,AIG,American International Group Inc,10.455,22.775,35.815,50.73,69.235,86.56,98.875,106.88,113.095,118.03,47.37282943725586,47.659412767689986,47.277301660444486,47.338091461543414,2069600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-22,AIG,American International Group Inc,10.745,22.445,34.405,49.525,67.275,85.2,97.94,105.56,111.48,116.185,46.235191345214844,47.1470417228879,46.16571539010275,47.1470417228879,3381800.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-23,AIG,American International Group Inc,10.265,22.405,34.6,50.12,67.975,85.705,98.305,106.54,112.935,118.015,46.15703201293945,46.287294458059186,45.748869063413444,46.07887322074928,2669900.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-24,AIG,American International Group Inc,10.275,22.045,34.375,49.59,68.215,85.495,97.775,105.82,112.09,117.075,45.93990707397461,46.53043920873773,45.7835895493141,46.34806655477076,1665700.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-25,AIG,American International Group Inc,10.565,22.29,34.505,49.955,68.525,85.43,97.45,105.36,111.535,116.465,45.85307693481445,45.94860470985628,45.45360015990829,45.783604297472166,2084400.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-28,AIG,American International Group Inc,10.34,22.185,34.89,50.415,68.27,86.03,98.64,106.385,112.4,117.175,45.63596725463867,46.29597549642774,45.61859826798154,46.052812996023384,3817200.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-29,AIG,American International Group Inc,10.74,22.475,35.275,50.75,71.335,86.875,97.93,104.74,110.115,114.44,45.245174407958984,45.74886509455353,44.472272703794395,45.46228177711962,7845800.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-30,AIG,American International Group Inc,10.99,23.075,35.97,51.77,71.385,88.825,101.21,108.835,114.76,119.455,45.688072204589844,45.939917530845236,44.897801566833,45.32333012642766,3961400.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-31,AIG,American International Group Inc,10.95,24.03,37.01,53.53,71.785,89.965,102.87,110.21,115.915,120.45,45.99202346801758,46.04413042829362,45.07149035937599,45.470967116439155,5172400.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-01,AIG,American International Group Inc,11.055,23.62,36.75,52.305,71.2,88.915,101.49,110.125,116.825,122.135,46.686771392822266,46.79966816249139,44.81096368759271,45.14965399660008,5378700.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-04,AIG,American International Group Inc,10.63,23.89,36.45,51.47,70.005,87.84,100.49,108.735,115.13,120.205,47.70283508300781,48.10231187789263,46.834405539625614,46.96467129625127,4657800.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-05,AIG,American International Group Inc,10.82,23.18,36.11,51.405,69.84,87.685,100.345,108.135,114.175,118.97,47.59861755371094,47.95467348228384,47.1209787239708,47.95467348228384,4342400.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-06,AIG,American International Group Inc,10.57,22.765,35.69,51.025,69.36,87.28,99.99,107.605,113.505,118.19,48.21520233154297,48.25862314046625,47.42493168307591,47.676777012744466,3733100.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-07,AIG,American International Group Inc,10.765,21.62,34.33,49.4,67.955,85.945,98.695,106.06,111.78,116.315,48.27599334716797,48.91863259898479,48.24125537403291,48.3802039537777,3280800.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-08,AIG,American International Group Inc,10.625,21.675,34.325,49.33,68.53,86.35,98.985,106.285,111.945,116.44,48.553890228271484,48.579942051575685,47.79835753729078,48.31941388014738,2750600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-11,AIG,American International Group Inc,10.675,21.775,34.435,49.475,68.77,86.67,99.31,106.635,112.385,116.925,48.110992431640625,48.6667867447012,48.0154646629342,48.13704425481677,2568800.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-12,AIG,American International Group Inc,11.025,22.99,35.885,50.035,68.465,85.97,98.375,104.495,109.25,113.025,48.11967468261719,48.432309808106545,47.80703955712784,48.050202050728096,3162700.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-13,AIG,American International Group Inc,10.79,22.36,34.865,49.865,68.535,86.295,98.875,106.705,112.775,117.585,47.520469665527344,47.95468447369102,47.48573168580319,47.867839524380635,2673600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-14,AIG,American International Group Inc,10.655,22.48,35.075,49.765,68.215,85.905,98.435,106.765,113.22,118.335,47.060184478759766,47.73756161287143,46.79097350505443,47.52045427908583,3468900.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-11-15,AIG,American International Group Inc,10.31,22.145,34.75,49.99,68.44,86.52,99.315,106.835,112.67,117.29,46.83439254760742,47.6941357018945,46.608599073798274,47.30334516601577,3404100.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
