Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Net Premiums Earned,Investment Income/(Expense) - Net - Insurance,Revenue from Business Activities - Total,Insurance Claims/Reserves - Total,Underwriting Expenses,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Investments including Loans - Total,Total Assets,Insurance Reserves - Total,Debt - Total,Earning Assets,Tangible Total Equity,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Loss Ratio - Insurance - %,Expense Ratio - %,Combined Ratio - Insurance - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Net Premiums Earned,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Investments including Loans - Total,Tangible Total Equity,Total Assets,Claims Ratio - Insurance - %,Operating Ratio - Insurance - %,Investment Ratio - %,Operating Income Percentage of Net Premiums Earned,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2019-09-30,AIG,American International Group Inc,12.26,26.475,40.665,57.525,78.825,96.175,108.56,115.56,121.02,125.36,48.371517181396484,48.944680440310755,48.24125144913612,48.892573484847574,3424500.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-01,AIG,American International Group Inc,11.86,25.68,39.695,57.075,77.8,95.255,107.71,114.73,120.205,124.57,47.21651077270508,48.6233689415204,47.10361732343131,48.57126197915092,3643000.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-02,AIG,American International Group Inc,11.985,26.485,41.29,59.605,81.055,98.53,110.99,117.985,123.42,127.735,46.43491744995117,47.112291268930804,46.28728274083292,46.973342708299214,3492000.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-03,AIG,American International Group Inc,12.345,26.94,42.26,59.82,82.0,99.425,111.845,118.79,124.18,128.455,46.20913314819336,46.66940303836726,45.77491839586049,46.19176416056457,3702700.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-04,AIG,American International Group Inc,11.885,26.14,39.91,58.255,78.805,96.535,109.165,116.59,122.375,126.975,47.26861572265625,47.355457343445885,46.19176173576913,46.19176173576913,3298100.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-07,AIG,American International Group Inc,11.99,26.345,40.265,57.69,78.42,96.02,108.565,115.945,121.7,126.29,46.57387161254883,47.14703490819434,46.55650262628134,47.08624511265583,2592200.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-08,AIG,American International Group Inc,11.885,26.205,40.08,58.105,79.085,96.435,108.8,116.065,121.74,126.26,45.523067474365234,46.09623405759745,45.4970156525075,45.95728217356885,3763600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-09,AIG,American International Group Inc,12.01,25.52,39.785,56.77,78.245,95.455,107.715,114.93,120.58,125.09,46.06150436401367,46.339401556419524,45.71413121710844,45.827027986772016,2943600.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-10,AIG,American International Group Inc,11.165,25.11,38.285,55.69,76.09,93.41,105.755,113.75,119.965,124.91,46.947296142578125,47.2859830899724,46.018076918210895,46.148339344934264,3962000.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
2019-10-11,AIG,American International Group Inc,10.715,24.21,36.66,53.775,72.835,90.06,102.325,110.335,116.59,121.575,47.25993728637695,48.31942245946971,47.18178180258751,47.66810025885617,4531400.0,7617.0,3408.0,12938.0,7858.0,1252.0,1641.0,973.0,3361.0,340993.0,525122.0,305993.0,35262.0,340993.0,67445.0,65118.0,483.0,1246.0,-1414.0,585.0,74.85,74.85,0.72,895.81,2.3,2020.0,3.57,76.7,29.0,105.7,12.68,9.74,22.78,7.52,2.89,0.53,7617.0,12938.0,1641.0,973.0,0.72,869.95,340993.0,67445.0,525122.0,91.62,45.15,44.74,21.54,6.72,34.33,52.28,4.72,0.57,42.9,233.09
