Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-03-31,MO,Altria Group Inc,12.521,24.2402,43.2685,54.5776,74.2215,87.6622,97.2875,103.9332,109.0129,113.6954,26.387845993041992,26.585738412466057,25.077667084635973,25.084489794263586,15865800.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-01,MO,Altria Group Inc,14.2458,26.6283,45.0864,57.4699,79.8271,96.1471,107.4095,113.8756,118.7336,122.4996,25.664520263671875,25.9170021815339,25.03672422090035,25.145905801848325,18310500.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-02,MO,Altria Group Inc,15.8164,28.7198,49.0716,61.9053,82.6175,94.9609,103.8605,109.0132,113.0037,116.1862,24.716007232666016,24.941193126762382,24.115507176584913,24.654592424622557,14393600.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-03,MO,Altria Group Inc,15.9072,29.2227,50.2509,63.4856,86.0731,96.4383,103.8744,108.0696,111.398,114.1178,25.52804183959961,25.725934262355562,24.668237241868503,24.98213395190572,10338000.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-06,MO,Altria Group Inc,15.1473,28.5785,48.2081,62.1667,83.845,96.0514,104.7938,109.8389,113.7484,116.8781,25.439329147338867,26.524322134207342,25.268732782127433,26.278662951807846,14463800.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-07,MO,Altria Group Inc,13.836,25.9431,43.548,56.0655,75.4456,86.7987,95.1615,100.1927,104.1869,107.4421,26.258195877075195,27.22718472000373,25.66452117234445,26.080776777913407,12021300.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-08,MO,Altria Group Inc,17.1554,28.9395,44.7793,58.3943,76.5456,91.9266,102.8619,109.3044,114.1951,118.028,27.38413429260254,27.80721262701834,26.353730600101617,26.537975020676505,11727600.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-09,MO,Altria Group Inc,14.9706,25.5836,40.2374,51.4357,67.1836,81.0281,91.1952,97.3848,102.2158,106.0972,27.91639518737793,28.346298850334986,27.384135244827444,27.384135244827444,8933800.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-13,MO,Altria Group Inc,14.2879,21.5818,37.1693,46.5567,63.4439,77.9898,88.6029,95.0759,100.1075,104.129,27.595670700073242,27.936863475013734,27.11117758440037,27.814033867787614,8449800.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-14,MO,Altria Group Inc,10.1702,19.6447,30.8322,40.5821,54.0497,68.2675,78.4003,84.7996,89.876,94.0058,28.742074966430664,28.926319353771795,27.902741159494834,28.011922729427287,8526500.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-15,MO,Altria Group Inc,10.9375,19.062,31.9405,40.5714,54.7862,68.4682,78.2198,84.3529,89.2484,93.2528,27.91639518737793,28.127935663488913,27.438724739991702,28.03922480536566,7415200.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-16,MO,Altria Group Inc,14.839,22.7553,35.2258,43.5446,56.8236,70.5278,80.2946,86.3748,91.2181,95.175,27.568384170532227,28.196177784387018,27.411433163973587,28.046052092771767,7429400.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-17,MO,Altria Group Inc,15.8423,21.9388,34.6147,41.8593,55.3948,70.2471,80.8241,87.3711,92.5349,96.7187,27.875450134277344,28.626075840395114,27.72532707552933,27.9778090133689,10455400.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-20,MO,Altria Group Inc,10.9901,20.1099,32.5007,42.1194,53.9211,69.5288,80.6274,87.509,92.9031,97.2515,26.660804748535156,27.575201541732106,26.408322809523188,27.46601995163819,13229600.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-21,MO,Altria Group Inc,14.4569,21.2141,33.278,40.935,54.9798,70.2615,81.1315,87.8637,93.1517,97.4231,25.766876220703125,26.490205812690668,25.58945712996349,25.930649891696333,15089300.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-22,MO,Altria Group Inc,12.5582,20.2356,32.4687,41.211,54.6076,69.3848,79.9057,86.4948,91.6972,95.9177,25.801002502441406,26.258199640916,25.55534325062444,26.230903590026408,11190800.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
2020-04-23,MO,Altria Group Inc,11.7285,19.6154,30.8094,39.5922,52.669,67.9902,78.8886,84.8997,89.5299,93.214,26.237722396850586,26.50385231928221,25.876056320000142,25.937471117722364,7182400.0,5046.0,3265.0,2802.0,2867.0,1550.0,5616.0,5616.0,52618.0,29971.0,6543.0,3129.0,42.0,52.0,3504.0,1514.0,8.59,0.83,1858.0,2034.0,1.09,64.7,56.82,55.53,41.78,26.47,30.72,11.67,-7.81,-1.44,-7.4,5046.0,2802.0,2867.0,1550.0,0.83,1858.37,56.96,81.79,451.57,12.56,99.17,-0.01,100.84,71863.09,29971.0,132.0,5616.0,96350.09,0.37,6.64,2.43,5.4,13.11,-0.59,-7.81,-2.49,-67.85,0.71,0.53,-0.06,132.81,2.76,30.17,12.13,3.34,109.56,100.18
