Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Funds from Operations (FFO) - REIT,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Dividend Payout Ratio - %,Earnings Retention Rate
2015-07-15,AVB,AvalonBay Communities Inc,11.65,23.91,37.69,50.445,66.34,79.0,88.025,92.185,95.46,98.085,123.21036529541016,123.72916608482409,122.17277486615546,122.8961703233338,421800.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-16,AVB,AvalonBay Communities Inc,11.26,23.14,36.51,48.88,64.335,76.71,85.605,89.74,93.025,95.67,124.10181427001953,124.47447759181784,123.28343562533323,123.49533325669921,401500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-17,AVB,AvalonBay Communities Inc,11.935,27.04,36.12,48.24,64.83,78.0,87.37,91.735,95.155,97.895,123.6414566040039,124.21870331950113,123.14457599294921,123.74375391369597,455600.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-20,AVB,AvalonBay Communities Inc,11.555,26.09,34.805,46.44,62.345,75.18,84.385,88.72,92.15,94.905,123.78028106689453,124.17486437195532,122.80846219049697,123.05689692356746,535900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-21,AVB,AvalonBay Communities Inc,11.405,25.685,34.235,45.655,61.255,73.94,83.075,87.4,90.835,93.605,123.2030258178711,125.31474320193847,123.01304829683285,124.2333129714048,587200.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-22,AVB,AvalonBay Communities Inc,11.55,26.1,34.81,46.45,62.38,75.21,84.41,88.745,92.175,94.93,124.24063110351562,124.83249494280567,123.25418393831809,123.37109834225892,459900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-23,AVB,AvalonBay Communities Inc,11.315,25.44,33.89,45.175,60.58,73.19,82.295,86.615,90.05,92.83,123.1738052368164,124.24792137080583,122.2458153684577,123.96294950881473,455700.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-24,AVB,AvalonBay Communities Inc,11.275,23.03,34.14,46.255,60.915,72.86,81.56,85.69,89.005,91.7,123.68531036376953,124.06526547051268,122.34813107194452,122.9034577930419,437700.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-27,AVB,AvalonBay Communities Inc,11.375,23.245,34.465,46.695,61.505,73.52,82.25,86.38,89.685,92.37,123.2030258178711,125.05899436822901,123.0203512650986,123.83142672539131,573000.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-28,AVB,AvalonBay Communities Inc,12.76,26.84,34.88,47.945,62.22,73.455,85.085,88.85,91.775,95.075,124.13835144042969,125.7897258200339,123.21767546500708,123.87529956894139,767500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-29,AVB,AvalonBay Communities Inc,9.945,20.525,31.645,42.76,60.9,74.605,88.065,92.605,96.045,99.75,124.67171478271484,124.99322375263962,123.10071822007295,124.31367982494592,820900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-30,AVB,AvalonBay Communities Inc,9.36,19.33,29.81,40.28,57.39,70.51,83.515,88.005,91.45,95.155,125.11748504638672,125.54860557997728,123.765699683854,124.38678663975081,605000.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-31,AVB,AvalonBay Communities Inc,9.635,19.93,30.78,41.615,59.365,72.79,86.045,90.565,94.005,97.72,125.92858123779297,127.2511437853208,125.8116667977881,126.26470746541328,733300.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-03,AVB,AvalonBay Communities Inc,9.945,20.585,31.81,43.015,61.395,75.145,88.67,93.21,96.645,100.355,127.11962127685547,127.36805609553058,125.70936734811832,126.00165344324299,636700.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-04,AVB,AvalonBay Communities Inc,9.585,19.805,30.56,41.3,58.895,72.265,85.495,90.005,93.455,97.18,126.15505981445312,127.71145079560428,125.90662506287704,126.85653510371844,514800.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-05,AVB,AvalonBay Communities Inc,10.935,21.51,33.65,45.77,60.895,72.55,84.53,88.49,91.56,94.985,125.95780944824219,126.82734243647647,125.3220941793527,126.44006197863273,467300.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-06,AVB,AvalonBay Communities Inc,11.275,22.69,33.8,45.58,59.845,71.115,82.78,86.65,89.67,93.05,126.24274444580078,126.46195615882647,124.4379188095503,125.77509799447904,510300.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-07,AVB,AvalonBay Communities Inc,10.945,21.51,33.645,45.76,61.91,74.16,86.6,90.71,93.87,97.365,127.03190612792969,127.03190612792969,125.08093182131788,126.19159637854739,476600.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-10,AVB,AvalonBay Communities Inc,11.28,22.7,33.805,45.585,61.33,73.66,86.145,90.275,93.45,96.96,126.96617126464844,127.78456119161652,126.5569818759517,127.42651490171957,660900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-11,AVB,AvalonBay Communities Inc,10.935,21.5,33.635,45.755,60.98,72.785,84.89,88.89,91.99,95.44,128.03302001953125,128.90255320833626,126.60815986331058,126.66661709402433,795700.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-12,AVB,AvalonBay Communities Inc,10.96,21.57,33.785,45.985,61.36,73.21,85.37,89.375,92.475,95.925,128.38369750976562,128.55175500792035,126.83462057991593,127.66761625062763,734500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-13,AVB,AvalonBay Communities Inc,10.97,21.58,33.795,45.99,61.36,73.2,85.355,89.355,92.45,95.895,128.66136169433594,129.40667710360532,127.4630168939281,127.87950913910376,600300.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-14,AVB,AvalonBay Communities Inc,10.995,21.615,33.84,46.04,61.41,73.255,85.405,89.41,92.505,95.95,129.42129516601562,129.65512400242451,127.52148604326999,128.68329380654865,811100.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-17,AVB,AvalonBay Communities Inc,11.13,21.86,34.16,46.435,61.865,73.775,85.965,89.96,93.05,96.495,130.4954376220703,130.4954376220703,128.79290884196755,129.42862409521163,778500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-18,AVB,AvalonBay Communities Inc,11.735,24.495,33.79,45.245,61.605,74.435,87.29,91.535,94.79,98.36,131.30648803710938,131.70107138016945,130.41503518005865,130.41503518005865,638700.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-19,AVB,AvalonBay Communities Inc,11.81,24.625,33.955,45.445,61.85,74.725,87.605,91.855,95.11,98.67,130.16661071777344,131.10190376478602,129.6624270448613,130.38582246463602,584100.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-20,AVB,AvalonBay Communities Inc,10.955,22.515,33.625,45.74,63.345,76.885,90.28,94.675,97.995,101.625,129.6258544921875,131.52567424668973,129.11436798891984,130.32002669258958,684100.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-21,AVB,AvalonBay Communities Inc,10.835,22.345,33.485,45.63,63.37,76.85,90.22,94.61,97.94,101.57,126.73235321044922,129.8889650220025,126.73235321044923,129.26787796917034,872500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-24,AVB,AvalonBay Communities Inc,11.475,23.635,35.375,48.17,66.85,80.865,94.66,99.075,102.375,105.995,120.96710205078125,126.00891570490025,120.74789033765198,125.98699564854441,1307200.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-25,AVB,AvalonBay Communities Inc,11.0,22.66,33.915,46.185,64.105,77.71,91.185,95.575,98.89,102.53,118.723876953125,123.37843350134006,118.59965955884364,123.36381641096192,1102500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-26,AVB,AvalonBay Communities Inc,10.995,22.63,33.85,46.08,63.925,77.49,90.93,95.31,98.63,102.255,121.65397644042969,122.11430883486769,119.4472642265422,121.39822754940785,979500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-27,AVB,AvalonBay Communities Inc,10.715,22.075,33.04,44.98,62.425,73.21,83.675,87.57,90.545,93.665,123.22496032714844,124.3429278292938,121.58088915933803,122.56733631985274,898800.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-28,AVB,AvalonBay Communities Inc,10.85,22.25,33.17,45.07,62.375,73.215,83.68,87.595,90.585,93.7,123.27615356445312,123.6634228923264,122.20932880776233,123.23961640813825,522100.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-08-31,AVB,AvalonBay Communities Inc,10.845,22.295,33.3,45.29,62.78,73.605,84.095,87.995,90.975,94.085,120.60903930664062,124.58403917328535,120.55058211453475,123.19571709687119,1746500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-09-01,AVB,AvalonBay Communities Inc,10.875,22.29,33.2,45.085,62.365,73.185,83.645,87.56,90.545,93.665,118.24161529541016,119.87106953463648,117.28439106741538,119.18421128458826,739600.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-09-02,AVB,AvalonBay Communities Inc,11.98,23.055,35.17,47.265,62.345,71.98,81.605,85.145,87.895,90.835,119.1988296508789,120.17796279887193,118.19046232408384,119.51302460078033,740500.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
