Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Funds from Operations (FFO) - REIT,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Dividend Payout Ratio - %,Earnings Retention Rate
2015-06-30,AVB,AvalonBay Communities Inc,13.475,27.475,39.605,54.365,69.47,83.89,94.015,98.425,101.69,104.17,116.8167724609375,117.68630551073721,116.18106829661247,117.33557333210013,628900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-01,AVB,AvalonBay Communities Inc,13.115,26.795,38.64,53.04,67.815,81.955,91.94,96.34,99.615,102.12,119.0672836303711,119.0672836303711,116.15910757014643,117.35745231477954,775400.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-02,AVB,AvalonBay Communities Inc,13.315,27.165,39.15,53.715,68.64,82.905,92.94,97.335,100.6,103.085,119.81990051269531,121.2374569560429,119.07459629677575,120.09026645728188,561400.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-06,AVB,AvalonBay Communities Inc,13.415,27.415,39.43,54.16,69.315,83.805,93.81,98.09,101.48,103.965,120.52867889404297,120.71866758231293,119.20611679295241,119.27187696216698,526900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-07,AVB,AvalonBay Communities Inc,13.7,27.88,40.055,54.985,70.305,85.005,95.115,99.385,102.765,105.24,122.34086608886719,123.02772458398749,120.38259911514876,121.06945761026907,640300.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-08,AVB,AvalonBay Communities Inc,13.73,27.905,40.08,54.995,70.295,85.005,95.13,99.395,102.76,105.23,121.7708740234375,122.59656671632953,121.06209574096009,121.79279408169376,566900.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-09,AVB,AvalonBay Communities Inc,12.945,28.045,39.15,52.255,69.575,82.745,92.135,96.415,99.745,102.4,121.79280090332031,124.73752563901742,121.29593135558619,122.57465352349146,532000.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-10,AVB,AvalonBay Communities Inc,11.965,24.535,38.67,51.765,68.05,80.97,90.14,94.33,97.61,100.225,122.24578857421875,123.23953838916891,121.48585634242693,122.03387989148987,635400.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-13,AVB,AvalonBay Communities Inc,11.615,23.865,37.66,50.44,66.385,79.035,88.06,92.22,95.5,98.12,122.28968048095703,123.88991170607284,121.5297590768001,123.33457380536935,708600.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
2015-07-14,AVB,AvalonBay Communities Inc,11.865,24.365,38.4,51.39,67.575,80.385,89.49,93.665,96.935,99.54,122.89616394042969,123.31997034437977,120.91596639864588,122.5965749247727,667800.0,457.46,299.48,170.52,170.52,172.25,290.47,65.13,65.13,16320.48,6487.13,9210.49,255.52,118.63,291.85,-130.99,1.29,133.09,3.01,65.47,37.27,37.27,37.94,0.75,37.65,8.45,4.78,6.14,457.46,170.52,170.52,172.25,1.29,132.89,39.75,41.3,70.35,3.82,103.47,96.65,0.03
