Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-09-30,CLX,Clorox Co,20.0908,29.7145,41.9585,55.8382,69.082,79.7727,87.4159,93.1309,97.5926,101.5729,183.83499145507812,184.87588259345833,181.96314117703008,183.82624929351942,1389200.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-01,CLX,Clorox Co,19.8823,29.3967,41.5035,55.2256,68.316,78.9174,86.5174,92.2136,96.6686,100.6466,185.12954711914062,185.7418454730397,181.5170589039217,183.27519442715962,1157800.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-02,CLX,Clorox Co,19.9409,29.4736,41.604,55.3518,68.467,79.0832,86.6896,92.3885,96.8451,100.8245,183.00396728515625,188.93440733658795,182.19049275767307,185.15571278338894,1311400.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-05,CLX,Clorox Co,19.7205,29.1191,41.083,54.6391,67.569,78.0786,85.6339,91.3104,95.7596,99.7393,182.9077911376953,183.73000800785846,181.78818065184203,182.8290716535673,1067000.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-06,CLX,Clorox Co,19.5067,28.7925,40.612,54.0008,66.767,77.1753,84.6758,90.3231,94.7572,98.7277,184.69216918945312,185.52314158038334,182.50542783818415,182.97777144427187,996800.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-07,CLX,Clorox Co,19.1899,28.3157,39.9342,53.099,65.653,75.947,83.4007,89.0349,93.4734,97.4514,188.1734619140625,190.24648834365576,184.56096110579938,184.61344076019776,2038300.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-08,CLX,Clorox Co,13.1,24.8,36.9,50.9326,64.4,76.5,86.6,92.4154,96.9133,100.5,186.18792724609375,188.7595375021038,185.4007056091489,188.12101269227912,857700.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-09,CLX,Clorox Co,13.0516,24.6662,36.6591,50.6086,64.0099,76.9148,86.124,91.8805,96.3327,99.8822,187.87606811523438,189.2143661301413,186.35410464388312,186.35410464388312,1027800.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-12,CLX,Clorox Co,13.1261,24.8066,36.8603,50.8952,64.3787,77.3637,86.6242,92.4189,96.9,100.4717,188.42715454101562,190.69261570696386,187.88484687805973,188.61084671381693,729100.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
2020-10-13,CLX,Clorox Co,13.0109,24.6062,36.5602,50.4695,63.8297,76.7074,85.8905,91.6305,96.069,99.6069,193.4566192626953,195.37220669317435,190.06279264260246,190.2902222698102,1250800.0,1916.0,920.0,466.0,517.0,417.0,860.0,860.0,6777.0,2781.0,1115.0,383.0,51.0,69.0,-12.0,174.0,2.06,3.22,128.73,48.02,26.98,24.32,27.45,20.72,21.76,5.16,138.26,18.94,33.26,1916.0,466.0,517.0,417.0,3.22,126.04,41.04,67.96,212.13,18.64,294.33,0.66,33.98,26476.59,2781.0,0.0,196.0,860.0,28593.59,1.17,20.38,23.87,6.54,156.15,0.79,138.26,0.52,72.07,1.41,1.06,0.09,11.49,31.85,3.28,111.7,7.37,49.67,-30.17
