Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-12-31,BWA,BorgWarner Inc,16.8498,22.5309,31.5296,45.2969,62.5985,76.6503,86.5158,94.0836,100.1773,105.1502,32.104270935058594,32.66094590190347,32.06272824204096,32.66094590190347,1376718.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-04,BWA,BorgWarner Inc,14.429,22.5423,31.8689,45.4777,62.5197,76.4782,86.2646,93.736,99.7496,104.6567,31.622379302978516,32.51970231504611,31.37312311076592,32.39507421893981,2088536.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-05,BWA,BorgWarner Inc,11.7538,20.2843,29.1574,43.1096,60.0318,75.3472,86.0906,93.3995,98.9367,103.2741,32.37014389038086,32.5944736906719,31.464511110709804,31.464511110709804,1923930.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-06,BWA,BorgWarner Inc,12.534,20.214,29.2599,41.9744,57.6085,72.3899,82.7387,89.7225,95.0855,99.3361,33.3754768371582,33.58319027221873,32.40337508066677,32.40337508066677,3108550.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-07,BWA,BorgWarner Inc,12.9242,19.8723,28.1044,40.2046,56.0212,70.5373,80.7097,87.7124,93.1082,97.396,34.14817428588867,34.38081407199469,33.558266642603094,33.890608165465835,2566224.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-08,BWA,BorgWarner Inc,12.811,19.26,28.0898,40.472,54.7674,69.3553,79.5604,85.4941,90.0726,93.7177,33.47518539428711,34.18141481806261,33.11791749300403,34.04847675230255,2339478.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-11,BWA,BorgWarner Inc,10.3252,18.3786,27.1345,40.0131,53.1327,68.174,78.685,84.8145,89.5343,93.2823,33.38378143310547,33.574878503267456,32.81880019978265,32.96835458514899,1471006.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-12,BWA,BorgWarner Inc,11.4697,18.9871,27.3142,39.3614,52.8681,67.261,77.3075,83.1699,87.7134,91.3439,34.20634078979492,34.76301584236214,33.60812663832422,33.8407664751493,3581354.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-13,BWA,BorgWarner Inc,10.4673,18.3934,26.6573,39.1796,52.9872,67.3094,77.3182,83.1884,87.7462,91.3941,33.35886764526367,34.39743504356724,33.1926968615351,34.1232525303129,2552365.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
2021-01-14,BWA,BorgWarner Inc,8.6367,17.3533,25.776,38.9786,53.3499,67.8116,77.9245,84.3704,89.2736,93.1281,32.90188980102539,33.732747204308474,32.63601730424026,33.599809155660665,3203179.0,3926.0,734.0,383.0,612.0,385.0,1650.0,1650.0,16029.0,3787.0,6428.0,376.0,220.0,165.0,-471.0,154.0,1.76,1.52,235.9,18.7,15.59,9.76,15.18,35.4,9.81,8.75,8.98,4.41,6.27,3926.0,383.0,612.0,385.0,1.52,238.93,23.63,36.03,56.32,16.65,873.17,0.89,11.45,9448.2,3787.0,0.0,296.0,1650.0,11881.2,0.79,9.48,7.49,2.22,16.67,0.59,8.98,0.71,6.36,1.62,1.28,0.15,4.19,87.31,3.86,94.89,7.92,46.19,38.61
