Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Income from Operations - Company Reported,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Non-GAAP Operating Margin % - Company Reported,Non-GAAP Free Cash Flow - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-04-21,MMM,3M Co,9.5363,14.7633,21.1049,28.9499,36.2333,42.6042,47.6087,51.8642,55.3574,58.7887,97.14674377441406,97.9286926731686,96.37165457064519,97.57201356929679,2787996.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-22,MMM,3M Co,9.5768,14.8205,21.1851,29.06,36.3696,42.8849,48.0313,52.4368,56.0625,59.6558,98.50486755371094,99.1016172316764,97.20162559089503,98.33338768925137,3288522.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-23,MMM,3M Co,9.3583,14.473,20.6816,28.3637,35.4935,41.7476,46.6659,50.8528,54.2908,57.6754,98.99871826171875,101.22794987924848,98.69005080045213,99.17019809836296,3092019.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-24,MMM,3M Co,9.3015,14.3793,20.5436,28.1708,35.2507,41.453,46.3289,50.4794,53.8886,57.242,100.83011627197266,101.06332709122738,98.98499628222652,99.57488615377957,2687532.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-27,MMM,3M Co,9.5371,14.729,21.0316,28.8301,36.0659,42.7288,48.0329,52.6212,56.4136,60.2293,105.39148712158203,105.96766393135337,101.44059708495999,101.51604746886788,5555300.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-28,MMM,3M Co,9.2624,14.2945,20.4029,27.9591,34.9704,41.4528,46.6191,51.0924,54.7879,58.5135,108.10773468017578,111.85971264628638,106.45467327823728,109.7676682951545,9919744.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-29,MMM,3M Co,9.4052,14.5119,20.7137,28.3873,35.5052,42.083,47.326,51.8664,55.6197,59.3986,107.18171691894531,109.89795513214176,106.43406043392375,108.74561430302259,4768572.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-30,MMM,3M Co,9.3087,14.355,20.486,28.0733,35.1101,41.6206,46.8092,51.3039,55.0202,58.7635,104.20484161376953,106.27631272861348,104.0882330747289,105.84418956010708,4386689.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-01,MMM,3M Co,9.6077,14.8141,21.1372,28.9605,36.215,43.0042,48.4256,53.1372,57.037,60.9834,101.92757415771484,102.91530113129495,101.33082466118417,102.40772138752607,3499974.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-04,MMM,3M Co,9.6328,14.8339,21.1504,28.9669,36.2147,43.0014,48.4219,53.1345,57.0348,60.9832,101.79042053222656,101.9001693944779,100.18537080425146,101.88645000434074,2666841.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-05,MMM,3M Co,9.8158,15.1121,21.5457,29.5064,36.8842,43.8325,49.3915,54.231,58.2349,62.2978,101.12507629394531,102.8878864230409,100.89871888307559,102.81243603903286,2713963.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-06,MMM,3M Co,9.4241,14.4975,20.6621,28.292,35.364,42.03,47.3642,52.0109,55.8588,59.7625,100.28138732910156,101.63264694161674,100.1373400101052,101.37199733920079,2593646.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-07,MMM,3M Co,9.5464,14.6816,20.9212,28.6439,35.8,42.3996,47.6501,52.1908,55.9392,59.71,99.96586608886719,101.41315524674397,99.3896955553211,101.31026608675653,3349757.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-05-08,MMM,3M Co,9.675,14.8758,21.1984,29.0259,36.28,42.9696,48.2896,52.8898,56.6879,60.51,101.86585998535156,102.32542821138895,100.40485149294231,100.88499254313137,2594961.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
