Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Income from Operations - Company Reported,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Non-GAAP Operating Margin % - Company Reported,Non-GAAP Free Cash Flow - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-03-31,MMM,3M Co,9.4488,14.9151,21.8006,29.9968,38.2018,45.0815,50.2023,54.4195,57.8166,61.0546,93.63481903076172,95.64456533198847,93.0655082654174,93.07236795911929,4321985.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-01,MMM,3M Co,9.0995,14.0725,20.0264,27.4875,34.5585,40.5644,45.2365,49.1662,52.381,55.4726,91.32327270507812,93.17525859852051,89.8622643235285,90.5413239401373,4518010.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-02,MMM,3M Co,9.0716,14.1332,20.2734,27.8694,34.9345,40.9153,45.5813,49.5069,52.7202,55.8178,94.5951156616211,94.80089397317423,90.60992743432884,90.7882669686495,4772399.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-03,MMM,3M Co,9.1742,14.2905,20.4981,28.1753,35.3159,41.8067,46.9702,51.419,55.0907,58.7637,91.76911926269531,94.27272593622698,91.15865034030004,93.29185859243928,4291607.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-06,MMM,3M Co,9.0653,14.105,20.219,27.782,34.8133,41.2776,46.4342,50.8907,54.5736,58.276,96.50883483886719,96.88608674003062,93.9023387088047,94.5608193063593,6745081.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-07,MMM,3M Co,8.8031,13.688,19.6135,26.9422,33.7532,39.7938,44.5669,48.651,52.0156,55.3386,99.18392181396484,103.32687711230547,99.04674043354584,101.17308938311461,6573575.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-08,MMM,3M Co,8.7792,13.6448,19.5451,26.8426,33.624,39.8326,44.7782,49.049,52.5819,56.1208,102.19508361816406,102.69580366972302,98.7106160780492,99.95898636033961,3673036.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-09,MMM,3M Co,8.7906,13.6583,19.5635,26.8652,33.647,39.8573,44.8026,49.0748,52.6058,56.143,101.36514282226562,102.70268311473014,100.51460328859208,101.83156449745672,5721305.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-13,MMM,3M Co,8.6188,13.3709,19.1383,26.2717,32.8948,38.9303,43.7303,47.8691,51.2863,54.6981,100.4185562133789,101.91385670018452,99.66404627664582,101.173066150112,3160191.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-14,MMM,3M Co,8.6268,13.3785,19.1443,26.2726,32.8904,38.9235,43.7201,47.8573,51.2735,54.6859,102.98391723632812,103.56008779554271,101.55034740376324,102.62723813719909,3968806.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-15,MMM,3M Co,8.9132,13.8219,19.7786,27.1433,33.9785,40.1091,44.9605,49.1218,52.55,55.9512,99.56803894042969,101.89330650698516,99.38969939192603,101.64637000994497,3640504.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-16,MMM,3M Co,9.7199,15.0795,21.5823,29.6254,37.0928,43.6597,48.8274,53.2292,56.8442,60.3998,99.38967895507812,100.4528563326322,98.24419151505076,99.64346883594115,4987798.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-17,MMM,3M Co,9.5397,14.7919,21.1637,29.0455,36.3636,42.5519,47.3715,51.4217,54.731,57.9243,100.459716796875,101.85899421567949,99.3210952294604,101.13192298942948,6450148.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
2020-04-20,MMM,3M Co,9.2614,14.3401,20.502,28.124,35.2002,41.3922,46.2581,50.3967,53.7944,57.1316,98.5459976196289,100.84382589626615,98.5322782329696,99.2867881696326,3460028.0,8075.0,3966.0,1661.0,2101.0,1310.0,4253.0,4477.0,46212.0,22495.0,10147.0,1213.0,440.0,325.0,1900.0,34.0,4.24,2.25,581.5,1678.0,1270.0,2.19,20.8,931.0,49.11,26.02,20.57,19.67,17.51,16.22,7.03,50.25,11.71,18.19,8075.0,1661.0,2101.0,1310.0,2.25,575.2,48.68,68.78,220.34,13.5,154.43,0.35,64.76,78520.06,22495.0,62.0,4477.0,96600.06,0.76,19.2,14.56,4.27,62.23,0.8,50.25,0.33,16.66,1.65,1.19,0.13,6.47,56.54,7.51,48.72,3.88,94.45,102.27
