Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-04-15,SCHW,The Charles Schwab Corp,11.9995,20.9585,32.2568,42.7991,50.2238,55.2165,58.8481,61.6134,63.7551,65.4636,62.109249114990234,63.99623038306901,61.246353784524516,63.38936196283823,10163600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-16,SCHW,The Charles Schwab Corp,12.0082,20.9628,32.258,42.8183,50.26,55.2604,58.8969,61.6652,63.8118,65.5235,61.388587951660156,62.42216544040441,61.00929339400683,62.336820728572484,10289400.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-19,SCHW,The Charles Schwab Corp,12.055,21.0273,32.3505,42.9427,50.4028,55.4052,59.0387,61.8012,63.9429,65.6504,62.46957015991211,63.17126759466017,61.55926759978557,61.66357377969564,8750800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-20,SCHW,The Charles Schwab Corp,12.1637,21.2097,32.6249,43.3142,50.8394,55.8844,59.5467,62.3289,64.4852,66.2042,60.392940521240234,62.32733975176303,60.31708378473741,61.98597539444846,7532800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-21,SCHW,The Charles Schwab Corp,12.2628,21.3763,32.8786,43.6603,51.2504,56.3402,60.0345,62.8406,65.0156,66.7487,62.0144157409668,62.07130738401368,60.17484211508161,60.5541366157562,6442800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-22,SCHW,The Charles Schwab Corp,12.1788,21.2205,32.6345,43.3384,50.8737,55.9221,59.5869,62.3704,64.5268,66.246,61.44548416137695,62.64973655244874,60.99981361812907,61.8721859986253,8590800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-23,SCHW,The Charles Schwab Corp,12.1538,21.1731,32.5628,43.2452,50.7635,55.8014,59.4592,62.2377,64.3904,66.1061,63.66434860229492,63.702278781825676,61.52134048268074,61.824774684484716,7270500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-26,SCHW,The Charles Schwab Corp,12.1577,21.1725,32.5676,43.2536,50.7704,55.8066,59.4616,62.2385,64.3905,66.1061,64.26173400878906,65.28582717440887,63.86347796697319,64.03416016124316,7387100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-27,SCHW,The Charles Schwab Corp,12.0877,21.0472,32.377,43.0022,50.4751,55.4812,59.1152,61.8768,64.0165,65.723,66.0349349975586,66.14872554378957,64.34708168456625,65.02032613893722,8745300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-28,SCHW,The Charles Schwab Corp,12.7281,21.8504,33.2429,43.9955,51.5605,56.6183,60.2841,63.0649,65.2192,66.9361,66.24353790283203,66.40473572776122,65.62718519255053,66.00647972460388,6338800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-29,SCHW,The Charles Schwab Corp,12.7699,21.8403,33.1394,43.8233,51.3404,56.3645,60.0054,62.767,64.9068,66.6117,67.99777221679688,68.42448131116755,66.42370955392659,66.62283757085609,9816600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-30,SCHW,The Charles Schwab Corp,12.8468,21.913,33.1852,43.8575,51.3651,56.3805,60.0144,62.7702,64.9046,66.6045,66.7555923461914,68.0262208595265,66.57542579436776,67.73227099871305,8105100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-03,SCHW,The Charles Schwab Corp,12.9167,21.9846,33.2555,43.9334,51.441,56.459,60.0952,62.854,64.9901,66.691,67.26764678955078,67.371952991258,66.12976292577471,67.16334058784356,5394300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-04,SCHW,The Charles Schwab Corp,12.9157,21.9819,33.258,43.9379,51.4468,56.4659,60.1034,62.8638,65.0006,66.7022,66.46161651611328,67.9218955235315,65.11512802005086,66.74608917728266,11044100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-05,SCHW,The Charles Schwab Corp,13.141,22.3073,33.6853,44.4754,52.0614,57.1318,60.8051,63.5916,65.7486,67.4666,67.30554962158203,67.95034804533738,65.96853825276749,67.13486747310444,8739500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-06,SCHW,The Charles Schwab Corp,13.108,22.2287,33.5483,44.2867,51.8364,56.8805,60.5352,63.3071,65.4522,67.1603,67.81761169433594,67.94088659750668,66.45216128065312,67.59003783112925,4802800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-07,SCHW,The Charles Schwab Corp,13.1935,22.3583,33.7308,44.522,52.1073,57.177,60.85,63.6361,65.7921,67.5093,68.03571319580078,68.15898087314973,66.3763055568788,66.80300748453861,6233000.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-10,SCHW,The Charles Schwab Corp,13.0352,22.0726,33.3063,43.9614,51.4474,56.4476,60.0688,62.8156,64.9396,66.6306,67.41935729980469,68.78481498184803,67.40039582508425,68.42448908661676,5721200.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-11,SCHW,The Charles Schwab Corp,13.093,22.1583,33.4271,44.1182,51.6277,56.6455,60.2798,63.0376,65.1698,66.8668,66.97367095947266,68.23482214837834,66.29094951316965,66.53748479887304,5380000.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-12,SCHW,The Charles Schwab Corp,13.3305,22.5531,34.016,44.8933,52.5303,57.6361,61.3338,64.14,66.3089,68.0349,65.54185485839844,67.77020052952066,65.10566863109112,67.34349142157667,8500500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-13,SCHW,The Charles Schwab Corp,13.19,22.3048,33.6358,44.3852,51.9294,56.9728,60.6261,63.3994,65.543,67.2488,66.95841217041016,67.50982494188644,65.3612213086616,65.42777062567897,6317300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-14,SCHW,The Charles Schwab Corp,13.1471,22.2326,33.5367,44.2609,51.7889,56.8235,60.4714,63.2422,65.384,67.0888,69.639404296875,69.75349193900416,67.12953419668072,67.17707252756728,8843300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-17,SCHW,The Charles Schwab Corp,13.0393,22.0365,33.2492,43.882,51.341,56.3279,59.9426,62.6885,64.8108,66.4984,69.4017333984375,69.62990144991048,68.4700357038145,69.4017333984375,5207200.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-18,SCHW,The Charles Schwab Corp,13.219,22.3357,33.6998,44.4761,52.0326,57.0859,60.7476,63.5286,65.6777,67.3886,67.4052505493164,69.96265210612495,67.36722132963665,69.7535022778843,5829600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-19,SCHW,The Charles Schwab Corp,12.9595,21.8015,32.7963,43.123,50.3538,55.2776,58.8823,61.6542,63.7949,65.4968,67.699951171875,67.83304978113138,65.7890250627938,66.34043773161606,6552300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-20,SCHW,The Charles Schwab Corp,13.1489,22.1393,33.3286,43.8614,51.2353,56.2352,59.886,62.6855,64.8474,66.5668,67.25312042236328,68.09925044689516,66.91086476599864,67.97566094728093,4606600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-21,SCHW,The Charles Schwab Corp,12.9872,21.8843,32.9773,43.4378,50.7631,55.7133,59.3224,62.084,64.2167,65.9128,68.6126480102539,68.97392197350878,67.50982964382361,67.68095750712011,5414900.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-24,SCHW,The Charles Schwab Corp,13.083,22.0478,33.2466,43.8137,51.209,56.1952,59.826,62.6008,64.7436,66.4475,69.03094482421875,69.43974976970108,68.46052117439766,68.76474760452426,4538300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-25,SCHW,The Charles Schwab Corp,13.0328,21.9701,33.1477,43.7045,51.0929,56.0648,59.6807,62.4408,64.572,66.2669,68.0992660522461,69.87709404946614,68.00419662665476,69.35420132871546,5920100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-26,SCHW,The Charles Schwab Corp,13.0234,21.9569,33.1407,43.7117,51.1107,56.0838,59.6987,62.4561,64.5852,66.2788,68.00418090820312,68.72672143168761,67.21509107685367,68.72672143168761,7370400.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-27,SCHW,The Charles Schwab Corp,13.1213,22.1227,33.398,44.0595,51.5191,56.5263,60.1623,62.9334,65.0732,66.7746,70.20983123779297,70.48553761231801,68.29890485068144,68.70770985382806,14693800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-05-28,SCHW,The Charles Schwab Corp,12.936,21.8081,32.931,43.4441,50.798,55.7359,59.3237,62.0609,64.1742,65.854,70.20983123779297,70.64715633945404,69.58236731048144,70.29539878666756,6205300.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-01,SCHW,The Charles Schwab Corp,12.998,21.9027,33.093,43.6685,51.061,56.0213,59.6245,62.3709,64.4904,66.174,70.96089172363281,71.7689926102966,70.50455564206487,71.2461072146112,6175500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-06-02,SCHW,The Charles Schwab Corp,12.998,21.9,33.093,43.6705,51.061,56.0212,59.6234,62.3697,64.4896,66.174,71.23661041259766,71.57886615960771,70.62815736309811,71.15104284917889,6881900.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
