Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2021-04-15,BSX,Boston Scientific Corp,7.7146,12.4323,19.6137,27.5741,38.0469,45.0339,50.0237,55.5908,59.9561,63.4739,40.86000061035156,41.060001373291016,39.84000015258789,39.880001068115234,8608100.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-16,BSX,Boston Scientific Corp,8.2025,13.0835,19.6806,27.6933,37.6167,44.9481,50.185,55.9634,60.4811,64.1075,40.90999984741211,41.18000030517578,40.59000015258789,41.13999938964844,7527600.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-19,BSX,Boston Scientific Corp,7.3264,13.2307,20.0281,27.8766,37.9279,45.7257,51.292,57.3469,62.045,65.7914,40.880001068115234,40.970001220703125,40.52000045776367,40.790000915527344,6539400.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-20,BSX,Boston Scientific Corp,7.5655,12.5816,20.0157,27.6642,38.5252,45.8403,51.0601,56.8278,61.3276,64.9335,41.130001068115234,41.72999954223633,40.709999084472656,40.81999969482422,10522600.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-21,BSX,Boston Scientific Corp,10.0074,13.0196,19.3679,27.3911,38.9913,45.2568,49.7303,54.8847,58.975,62.299,42.310001373291016,42.540000915527344,41.0,41.2400016784668,14811400.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-22,BSX,Boston Scientific Corp,8.9626,12.7973,19.3296,27.7833,38.9805,45.7954,50.6601,56.1426,60.4518,63.928,42.56999969482422,42.79999923706055,42.029998779296875,42.310001373291016,12019300.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-23,BSX,Boston Scientific Corp,8.6831,13.1938,19.623,27.6319,38.4432,45.0427,49.7547,55.1112,59.342,62.7679,42.72999954223633,42.939998626708984,42.58000183105469,42.599998474121094,9905800.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-26,BSX,Boston Scientific Corp,8.4155,12.8229,19.3587,27.7356,38.6432,45.3771,50.1813,55.6127,59.8926,63.3518,42.27000045776367,42.90999984741211,42.22999954223633,42.810001373291016,11175800.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-27,BSX,Boston Scientific Corp,7.6763,13.2658,19.9472,27.8991,38.9598,46.0904,51.177,56.8502,61.2885,64.8554,42.40999984741211,42.7599983215332,41.59000015258789,41.9900016784668,8400800.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-28,BSX,Boston Scientific Corp,9.3528,12.9443,19.4876,27.3283,37.9797,44.1492,48.5502,53.6394,57.6961,61.0069,44.2400016784668,44.630001068115234,43.75,43.86000061035156,16088200.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-29,BSX,Boston Scientific Corp,6.3151,12.1042,19.0918,27.7836,37.6283,46.3802,52.6113,59.2297,64.3208,68.3467,44.099998474121094,44.29999923706055,43.630001068115234,44.279998779296875,8810700.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-30,BSX,Boston Scientific Corp,6.4177,12.1331,19.074,27.987,37.704,46.3248,52.4613,59.0011,64.0379,68.0243,43.599998474121094,43.959999084472656,43.36000061035156,43.84000015258789,12645600.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-03,BSX,Boston Scientific Corp,6.456,12.4272,19.3779,27.5312,37.597,45.9997,51.9795,58.3938,63.3489,67.281,43.630001068115234,43.790000915527344,43.439998626708984,43.599998474121094,7610600.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-04,BSX,Boston Scientific Corp,6.5804,12.4727,19.4266,27.6477,38.0226,46.3748,52.3181,58.7081,63.6428,67.5593,43.33000183105469,43.5,43.09000015258789,43.5,9076400.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-05,BSX,Boston Scientific Corp,6.8874,12.6863,19.6768,28.4473,38.5792,47.0771,53.1228,59.6017,64.5904,68.5402,43.09000015258789,43.66999816894531,43.04999923706055,43.470001220703125,6829900.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-06,BSX,Boston Scientific Corp,6.5945,12.6654,20.0196,28.8189,38.9771,47.4798,53.5295,60.0192,65.0106,68.9587,43.040000915527344,43.11000061035156,42.619998931884766,43.029998779296875,8257500.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-07,BSX,Boston Scientific Corp,6.5132,12.78,19.9411,28.5971,38.9964,47.009,52.7115,58.9206,63.7288,67.5554,43.130001068115234,43.83000183105469,42.9900016784668,43.099998474121094,6089300.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-10,BSX,Boston Scientific Corp,6.6416,12.7299,19.8421,28.3026,38.7874,46.8461,52.5755,58.8043,63.6243,67.4588,43.25,43.61000061035156,43.08000183105469,43.15999984741211,6078400.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-05-11,BSX,Boston Scientific Corp,6.6743,12.9789,20.4729,29.0304,39.9789,48.1834,54.0146,60.3353,65.2042,69.0615,42.529998779296875,43.380001068115234,42.369998931884766,43.150001525878906,10858500.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
