Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2021-03-31,BSX,Boston Scientific Corp,7.7799,13.6934,20.6954,29.6877,40.4554,48.299,53.9066,59.9735,64.6432,68.3445,38.650001525878906,39.099998474121094,38.529998779296875,39.0,5811100.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-01,BSX,Boston Scientific Corp,7.8663,13.1556,19.8818,27.9631,38.5907,46.2963,51.805,57.7782,62.4047,66.0882,38.58000183105469,38.779998779296875,38.0,38.61000061035156,5615300.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-05,BSX,Boston Scientific Corp,6.9357,12.5002,19.4916,27.641,37.7081,45.4931,51.0588,57.0726,61.7295,65.4388,39.040000915527344,39.130001068115234,38.72999954223633,38.869998931884766,4954600.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-06,BSX,Boston Scientific Corp,7.3708,12.7893,19.5132,27.7413,37.9014,45.7456,51.3508,57.3978,62.0792,65.8084,38.95000076293945,39.25,38.849998474121094,39.20000076293945,7676500.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-07,BSX,Boston Scientific Corp,7.3928,12.566,19.7963,27.6855,38.2484,45.5926,50.8407,56.6028,61.0932,64.6903,38.849998474121094,39.220001220703125,38.7400016784668,38.959999084472656,4861400.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-08,BSX,Boston Scientific Corp,8.3624,12.6172,19.7514,27.3776,38.0469,44.657,49.381,54.7089,58.9111,62.3125,38.720001220703125,39.119998931884766,38.650001525878906,38.93000030517578,3992100.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-09,BSX,Boston Scientific Corp,8.3516,12.9187,19.747,27.5275,37.9808,45.1098,50.2035,55.845,60.2614,63.8108,39.31999969482422,39.33000183105469,38.54999923706055,38.77000045776367,5426100.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-12,BSX,Boston Scientific Corp,7.4585,13.0197,20.0552,27.738,38.3321,45.7036,50.9671,56.7527,61.2594,64.8662,39.34000015258789,39.470001220703125,38.880001068115234,39.2599983215332,4140700.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-13,BSX,Boston Scientific Corp,6.7648,12.9748,20.1332,27.9828,38.5548,46.6478,52.4261,58.6366,63.4221,67.2194,39.40999984741211,39.47999954223633,39.099998474121094,39.220001220703125,6582100.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
2021-04-14,BSX,Boston Scientific Corp,7.7444,12.7012,19.58,27.6645,38.4529,45.5566,50.6294,56.2661,60.6767,64.2234,39.66999816894531,39.97999954223633,39.33000183105469,39.34000015258789,4093900.0,2752.0,1661.0,373.0,641.0,341.0,2016.0,2016.0,30900.0,9095.0,15719.0,285.0,268.0,84.0,258.0,183.0,0.0,0.23,1430.8,524.0,0.37,60.36,23.29,13.55,11.81,-4.92,12.39,2.47,1.36,0.81,21.77,2752.0,373.0,641.0,341.0,0.23,1420.57,29.43,36.65,57.86,4.55,1.0,0.0,54902.97,9095.0,0.0,2016.0,61981.97,0.33,2.21,0.73,2.07,1.52,1.12,1.36,1.0,1.36,1.8,1.38,0.09,6.31,57.98,7.06,51.84,2.84,128.95,135.1
