Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-06-30,ABBV,AbbVie Inc,15.7626,24.0909,34.1936,44.9645,52.6657,60.9898,66.4429,71.0456,73.723,75.4831,80.73575592041016,81.31138010642204,78.80329612584673,78.9184209630491,8112500.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-01,ABBV,AbbVie Inc,15.7177,23.6251,33.1116,43.8218,51.53,59.8171,65.2391,69.8551,72.5629,74.3562,81.52519226074219,81.95280420899495,80.17658154486851,80.99890545814922,6522900.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-02,ABBV,AbbVie Inc,15.3429,23.2379,32.598,43.1798,50.5385,58.9024,64.3937,69.0154,71.7417,73.5559,81.3114013671875,82.22418158212626,80.4726335805643,81.78012583373702,6158800.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-06,ABBV,AbbVie Inc,15.353,23.195,32.5312,43.0552,50.4913,58.8003,64.2595,68.8876,71.6303,73.4628,81.41828918457031,82.06792580318164,80.54662160482391,81.93635097082999,7039000.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-07,ABBV,AbbVie Inc,15.4203,23.2375,32.5709,43.0967,50.5558,58.7795,64.2049,68.856,71.62,73.4715,81.69786834716797,82.79978550253121,81.04823179173604,81.1469129064027,6345600.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-08,ABBV,AbbVie Inc,15.3553,23.3499,32.8468,43.5338,51.0132,59.2932,64.741,69.4004,72.1656,74.0152,81.64032745361328,82.70112618904875,81.04003443418533,82.0268207456519,6154400.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-09,ABBV,AbbVie Inc,15.6141,23.6713,33.2539,44.0807,51.8491,59.9804,65.3405,69.9387,72.6529,74.4607,80.53841400146484,82.05148713938794,79.60918387274316,81.4758628529681,5817300.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-10,ABBV,AbbVie Inc,15.5018,23.494,33.2399,44.0865,51.5422,59.7019,65.0909,69.7144,72.4484,74.2716,79.62562561035156,80.85911147379211,79.23913236932684,80.63708050502603,6202500.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-13,ABBV,AbbVie Inc,15.4633,23.2822,32.8297,43.5548,51.0194,59.338,64.8026,69.4652,72.2244,74.0653,80.47262573242188,81.870573998403,79.69963917833384,80.0614637396234,8507400.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
2020-07-14,ABBV,AbbVie Inc,15.4225,23.2822,32.8556,43.5445,50.7079,59.0617,64.5432,69.1777,71.9215,73.7535,82.29547882080078,82.48691816538216,79.8566624825675,80.71399271795082,6765600.0,10425.0,6714.0,1619.0,3174.0,-739.0,6017.0,6040.0,149530.0,87432.0,14708.0,3089.0,1555.0,177.0,-35125.0,1160.0,4.7,-0.46,1647.0,64.4,30.45,15.53,-6.65,2.84,-7.09,9.43,224.88,6.73,13.85,10425.0,1619.0,3174.0,-739.0,-0.46,1764.28,58.47,85.58,593.48,2.56,-35.91,0.41,58.54,173026.76,87432.0,24.0,6040.0,254442.76,0.35,20.65,7.24,33.52,242.62,0.93,224.88,-0.04,-9.93,0.86,0.7,-0.02,5.24,69.89,0.64,575.84,3.25,112.69,-393.26
