Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-04-15,ABT,Abbott Laboratories,5.14,7.49,12.57,18.335,25.84,33.335,38.69,42.155,44.8,46.97,38.903621673583984,39.00330975525695,38.704242341211085,38.88700646513399,4046600.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-16,ABT,Abbott Laboratories,4.39,7.9,13.01,20.165,25.775,35.275,42.045,46.445,49.77,52.46,38.64609909057617,38.95347259109899,38.52979577519066,38.72086596032796,3769000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-17,ABT,Abbott Laboratories,4.945,6.98,12.065,17.165,24.82,33.11,39.025,42.845,45.74,48.1,38.421791076660156,38.58793999620248,38.0562659888887,38.45502149437403,4312000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-20,ABT,Abbott Laboratories,4.89,6.885,12.0,17.11,25.8,33.505,39.0,42.535,45.225,47.42,38.73748016357422,38.80393784105195,38.52148558145954,38.563022026011566,3371900.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-21,ABT,Abbott Laboratories,4.94,6.97,12.065,17.165,25.84,33.535,39.025,42.56,45.24,47.435,39.144535064697266,39.27745356595664,38.81224039606234,38.99500135465208,8616000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-22,ABT,Abbott Laboratories,5.95,7.975,13.065,19.18,25.81,34.7,41.04,45.07,48.075,50.49,40.16635513305664,40.20789474832087,39.1445433443054,39.2525406397425,7638400.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-23,ABT,Abbott Laboratories,5.99,8.04,13.1,19.21,25.83,34.72,41.055,45.085,48.085,50.5,40.257728576660156,40.390647077508575,39.734363762147225,40.1663465131343,6401900.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-24,ABT,Abbott Laboratories,5.87,7.875,12.995,19.135,25.395,34.52,41.015,45.135,48.2,50.665,40.14142990112305,40.30757883854874,39.95035973224308,40.174660322413665,3451000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-27,ABT,Abbott Laboratories,6.02,8.07,13.24,19.435,25.68,34.94,41.515,45.66,48.74,51.21,39.451904296875,40.207878725626216,39.36052225015346,40.10818749155193,5254500.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-28,ABT,Abbott Laboratories,6.1,8.16,13.225,19.29,25.25,34.49,41.05,45.19,48.265,50.73,39.53498077392578,39.6512840552951,39.053149272222335,39.559902000211565,3788400.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-29,ABT,Abbott Laboratories,6.01,8.055,13.25,19.47,25.765,35.005,41.57,45.72,48.79,51.25,39.18606185913086,39.57651124694671,38.94514931358877,39.27744390045169,3566600.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-30,ABT,Abbott Laboratories,6.01,8.055,13.255,19.47,25.765,35.005,41.565,45.705,48.77,51.225,38.563018798828125,39.21099932191771,38.4301002859685,38.98669873727447,5963600.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-01,ABT,Abbott Laboratories,6.005,8.06,13.255,19.475,25.765,35.005,41.565,45.705,48.775,51.23,38.78733825683594,38.98671770765423,38.54642551375945,38.80395347515653,3410100.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-04,ABT,Abbott Laboratories,5.93,7.95,13.025,19.095,25.205,34.295,40.765,44.865,47.915,50.36,39.04484939575195,39.327301624524864,38.86208525683205,38.86208525683205,3126900.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-05,ABT,Abbott Laboratories,6.02,8.07,13.28,19.495,25.785,35.01,41.55,45.675,48.735,51.18,38.92023468017578,39.219302101653476,38.862083033669236,39.06146237099672,4377700.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-06,ABT,Abbott Laboratories,5.965,8.005,13.185,19.37,25.64,34.8,41.305,45.42,48.47,50.91,38.66270446777344,39.02822953300823,38.40517349990971,38.9202322666103,3832700.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-07,ABT,Abbott Laboratories,5.93,7.925,13.025,20.17,25.77,35.265,42.01,46.27,49.41,51.905,38.62947463989258,38.81223875980434,38.52147737185137,38.57962901563658,4488900.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-08,ABT,Abbott Laboratories,5.93,7.915,13.015,20.165,25.765,35.265,42.02,46.28,49.425,51.925,39.51837921142578,39.626376510997495,39.06977796923051,39.127929629993474,4296400.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-11,ABT,Abbott Laboratories,5.985,7.985,13.11,20.275,25.865,35.42,42.195,46.465,49.615,52.115,39.31899642944336,39.659600315198794,39.2359203786327,39.277456819524375,3551400.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-12,ABT,Abbott Laboratories,5.93,7.915,13.025,20.165,25.755,35.235,41.965,46.21,49.34,51.83,39.152854919433594,39.28577345690199,38.95347552871705,39.069778852873405,3520500.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-05-13,ABT,Abbott Laboratories,5.935,7.925,13.04,20.19,25.79,35.29,42.03,46.28,49.415,51.905,39.069759368896484,39.35221151628724,38.94515008474035,39.21098702710502,2651400.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
