Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-03-31,ABT,Abbott Laboratories,4.89,6.905,12.025,18.165,26.23,34.28,40.04,43.73,46.515,48.8,38.292354583740234,38.829586223098886,38.292354583740234,38.70561114612259,5358100.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-01,ABT,Abbott Laboratories,4.935,6.915,12.025,18.16,27.66,34.86,40.015,43.305,45.805,47.86,37.92866134643555,38.32538700183036,37.64764694641898,38.29232889521889,6369000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-02,ABT,Abbott Laboratories,5.05,7.4,12.795,18.915,27.595,34.66,39.715,42.965,45.44,47.475,38.127044677734375,38.341936665414906,37.796438224336995,38.11051403977483,3974000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-06,ABT,Abbott Laboratories,4.87,6.85,11.97,17.09,25.78,33.485,38.99,42.535,45.225,47.43,38.267547607421875,38.490706474414395,37.73031610057017,37.85429114696829,4083500.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-07,ABT,Abbott Laboratories,4.965,7.01,12.085,17.175,25.855,33.54,39.035,42.57,45.255,47.45,38.1766242980957,38.51549441288886,38.15182992354129,38.26754120865661,3161100.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-08,ABT,Abbott Laboratories,4.915,6.915,12.025,17.135,25.82,33.51,39.01,42.55,45.23,47.435,38.523765563964844,38.63947686186851,37.936942180084,38.193159153186016,6011800.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-09,ABT,Abbott Laboratories,4.95,7.01,12.08,17.165,25.835,33.52,39.01,42.545,45.23,47.43,38.846107482910156,38.94528815111931,38.39152600464691,38.432851020326005,4337300.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-10,ABT,Abbott Laboratories,4.88,6.885,12.0,17.12,25.81,33.5,39.0,42.54,45.23,47.425,38.970088958740234,39.011413977893184,38.598157480569945,38.829580110143965,3759900.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-13,ABT,Abbott Laboratories,4.88,6.895,12.02,17.135,25.83,33.525,39.025,42.565,45.255,47.45,38.65439224243164,39.1362237246386,38.62947101715425,38.86207757048086,3064500.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
2015-04-14,ABT,Abbott Laboratories,4.875,6.89,12.01,17.13,25.82,33.52,39.02,42.555,45.245,47.44,38.79562759399414,38.837164034021875,38.4965601553509,38.63778468525063,3244000.0,4897.0,2661.0,618.0,989.0,529.0,3226.0,9849.0,43095.0,8461.0,21874.0,2823.0,371.0,235.0,-837.0,2224.0,2.46,0.35,1515.54,54.34,20.2,12.62,13.33,18.99,10.8,7.26,8.95,4.78,14.1,4897.0,618.0,989.0,529.0,0.35,1488.76,19.63,27.79,38.48,16.7,148.05,0.32,67.54,68974.13,8461.0,114.0,9849.0,67700.13,0.48,13.88,6.68,1.86,12.45,0.72,8.95,0.15,1.34,2.17,1.89,0.25,5.54,66.1,9.19,39.81,3.55,103.03,129.31
