Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-04-30,A,Agilent Technologies Inc,13.875,22.915,39.015,69.28,92.0,115.97,133.02,152.865,168.565,180.46,38.192806243896484,38.71903028222304,37.95277564746341,38.61748117870986,1726300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-01,A,Agilent Technologies Inc,14.045,23.005,39.105,69.545,92.35,116.12,133.0,153.025,168.605,180.365,38.61748123168945,38.7097998792756,38.07279275877761,38.22973516402019,1880200.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-04,A,Agilent Technologies Inc,14.295,23.535,39.515,70.375,90.67,115.74,133.36,153.645,169.825,181.795,38.71902084350586,38.848271848863945,38.497454734923025,38.66363107722505,1073800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-05,A,Agilent Technologies Inc,14.595,23.825,40.025,71.645,92.91,117.6,134.96,155.145,171.155,183.055,38.39590835571289,38.635938932524674,38.27589130644181,38.51592540498397,1254800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-06,A,Agilent Technologies Inc,14.745,23.905,40.005,71.225,93.02,118.19,135.72,155.875,171.875,183.935,38.39590835571289,38.64517290955419,38.1835726665289,38.64517290955419,934600.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-07,A,Agilent Technologies Inc,15.285,24.325,40.205,71.575,94.28,119.5,137.38,157.835,174.205,186.275,38.589786529541016,38.63594585777123,38.137420182461454,38.39591523793549,999700.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-08,A,Agilent Technologies Inc,15.445,25.155,41.035,74.465,94.77,119.5,136.44,155.995,171.625,183.365,39.23602294921875,39.263717838464416,38.968293947408746,38.98675838081604,1033800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-11,A,Agilent Technologies Inc,15.405,25.305,43.085,77.125,100.97,127.32,146.61,168.005,184.355,196.145,39.346805572509766,39.54068036017713,39.13446987337936,39.13446987337936,975500.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-12,A,Agilent Technologies Inc,16.135,26.475,44.555,79.475,101.93,128.72,147.56,168.385,184.945,196.795,38.69134521484375,39.23603382528759,38.312833029398476,39.10678627734016,2617800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-13,A,Agilent Technologies Inc,15.515,26.5,43.665,77.755,100.85,127.16,145.2,165.565,181.645,193.305,38.5990104675293,39.13446487482879,38.506688313353465,38.82057659409112,1992800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
