Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-05-14,A,Agilent Technologies Inc,15.795,25.855,43.495,76.555,96.59,121.87,139.92,160.175,176.175,187.845,38.820579528808594,38.98675589715743,38.65440316045975,38.940596577445056,2883700.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-15,A,Agilent Technologies Inc,15.8,25.795,43.705,77.095,96.95,121.9,139.66,160.075,175.925,187.665,38.811363220214844,39.01446500532553,38.76520388367749,38.90368189328955,2147400.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-18,A,Agilent Technologies Inc,15.655,25.695,43.385,76.855,96.9,122.49,140.42,160.745,176.845,188.815,39.35604476928711,39.42066853316965,38.75596293697093,38.820586700853475,1966100.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-19,A,Agilent Technologies Inc,16.395,25.69,43.91,78.105,97.6,122.74,140.67,161.285,176.875,188.475,39.11601257324219,39.54068757067576,38.31282895237354,38.37745271947038,5277300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-20,A,Agilent Technologies Inc,15.955,24.52,42.01,75.715,95.62,121.64,140.34,161.045,176.765,188.365,39.337581634521484,39.549917368833256,39.17140522997642,39.236028995996044,2652300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-21,A,Agilent Technologies Inc,15.405,25.25,42.42,75.955,94.55,120.78,139.94,160.745,176.665,188.265,39.06984329223633,39.44835534100156,38.959060222818046,39.300643407867085,2126300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-22,A,Agilent Technologies Inc,16.71,24.51,42.12,76.38,97.63,133.28,156.87,174.32,187.575,197.845,39.23602294921875,39.39296535058495,38.83904643528821,39.02368724763065,1484800.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-26,A,Agilent Technologies Inc,17.255,24.705,42.925,76.5,98.03,132.62,155.83,173.545,186.865,197.285,38.82981872558594,39.35604278885282,38.76519496495533,39.217561289369606,1919600.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-27,A,Agilent Technologies Inc,16.685,24.495,42.695,75.51,97.07,130.21,152.93,170.515,183.685,194.025,39.337581634521484,39.633005571105784,38.8667473144001,39.02369326168427,2506300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-28,A,Agilent Technologies Inc,17.195,25.22,43.975,77.805,100.0,134.095,157.47,175.545,189.09,199.71,38.54363250732422,39.42990440958247,38.17435078718421,39.1898737567035,3347400.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-05-29,A,Agilent Technologies Inc,17.355,25.31,44.105,78.305,100.0,134.615,158.29,176.325,190.09,200.715,38.02661895751953,38.61747010572677,37.68503583378648,38.580541248639506,5022600.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-01,A,Agilent Technologies Inc,17.555,25.3,43.785,78.425,100.6,134.605,157.9,175.615,189.53,200.125,37.77737045288086,38.24820477581005,37.71274668647585,38.24820477581005,2440000.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-02,A,Agilent Technologies Inc,17.285,24.45,43.065,77.135,99.76,133.835,156.98,174.775,188.23,198.655,37.95277404785156,37.98046893657601,37.54656356399695,37.7958281277085,2947500.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-03,A,Agilent Technologies Inc,17.925,25.45,43.415,77.355,97.53,130.215,152.51,170.255,183.95,194.655,37.94352722167969,38.18356124844413,37.795815328951306,38.13740194229076,2722100.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-04,A,Agilent Technologies Inc,17.895,26.24,43.925,78.035,98.46,132.255,155.54,173.465,187.26,198.165,37.42654800415039,37.925077104566085,36.93724935889929,37.74966676086594,4091900.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-05,A,Agilent Technologies Inc,17.9,26.52,44.635,78.885,99.34,133.585,157.22,175.425,189.28,200.075,37.214210510253906,37.546559705989054,37.11265789972505,37.426546186027814,1760300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-08,A,Agilent Technologies Inc,18.375,26.92,45.025,79.405,99.54,133.215,156.14,173.885,187.46,198.225,36.881866455078125,37.25114459986914,36.84493758407973,37.16805640098824,1353000.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-09,A,Agilent Technologies Inc,18.875,27.54,46.155,80.535,102.13,137.045,160.72,179.135,192.88,203.395,37.03879165649414,37.232666378246265,36.77106627053716,36.86338488338725,1439000.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-10,A,Agilent Technologies Inc,18.905,27.18,45.465,79.365,99.59,132.895,155.95,173.865,187.66,198.345,37.408084869384766,37.472708622968995,37.17728474323239,37.29730179491615,1789300.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-11,A,Agilent Technologies Inc,18.585,26.78,45.075,79.025,99.48,133.415,156.66,174.585,188.41,198.735,37.41731262207031,37.48193637098652,37.19574648913767,37.45424148480248,1577000.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
2015-06-12,A,Agilent Technologies Inc,18.755,27.22,45.945,80.135,101.77,136.095,159.34,177.625,191.66,202.165,36.78030776977539,37.38038949871828,36.68798912919821,37.23267756075654,2769600.0,963.0,473.0,117.0,180.0,92.0,2197.0,2197.0,7412.0,1656.0,4158.0,183.0,63.0,9.0,79.0,130.0,1.12,0.26,337.0,49.12,18.69,12.15,9.97,4.17,9.55,1.4,5.23,2.78,6.34,963.0,117.0,180.0,92.0,0.26,333.0,22.34,28.47,39.8,6.88,255.56,0.61,39.13,13784.14,1656.0,0.0,3.0,2197.0,13246.14,0.44,6.73,2.95,1.88,5.56,0.94,5.23,0.39,2.06,3.89,3.29,0.36,5.46,66.98,5.6,65.31,2.51,145.77,147.43
