Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Free Cash Flow - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2020-03-31,CVX,Chevron Corp,38.6675,58.8415,85.9636,114.0299,132.8958,143.3559,149.3249,153.498,156.3607,157.4329,58.05070495605469,60.11765122948807,56.72882042712759,58.69962753241622,18514200.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-01,CVX,Chevron Corp,36.3932,55.2593,80.6311,106.9167,124.6193,134.7183,140.659,144.9245,147.9396,149.2155,54.92624282836914,57.91450241747536,54.165161076276526,55.687330692684505,14362000.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-02,CVX,Chevron Corp,34.9984,52.8174,76.7903,101.649,118.4137,128.2092,134.1141,138.4416,141.5701,143.0023,60.98288345336914,63.049823548392645,55.7434181456194,57.48189345639123,23220600.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-03,CVX,Chevron Corp,34.9407,52.8653,76.4313,101.0666,118.2524,127.3555,132.8843,136.9876,139.998,141.3808,60.173728942871094,63.28215526598419,58.50735342209509,62.48902701908761,14905400.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-06,CVX,Chevron Corp,34.1384,51.7482,74.8324,99.2387,115.7442,125.0551,130.6799,134.967,138.0499,139.4719,64.40375518798828,64.85239240584335,60.49418744556513,61.687886392914486,17334900.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-07,CVX,Chevron Corp,33.9765,51.4366,74.3281,98.5136,114.0436,123.1341,128.7094,133.0417,136.2314,137.7908,64.82836151123047,68.64980946454845,64.77228185694939,67.50417700232872,16394800.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-08,CVX,Chevron Corp,30.7882,48.8215,74.0089,102.4686,121.6371,128.4504,133.3504,136.7155,139.3028,141.3437,68.88214874267578,69.13851377775245,65.30905227997184,65.92593465677245,12284800.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-09,CVX,Chevron Corp,27.3178,43.3879,65.8698,91.3072,108.4494,114.9227,119.8198,123.3631,126.1928,128.5028,67.54422760009766,72.03062420513754,65.3090424227776,71.09328414790912,17023800.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-13,CVX,Chevron Corp,25.1183,40.162,61.2324,84.9477,100.8907,106.8688,111.6023,115.1445,118.0713,120.5148,68.02493286132812,69.98772724039615,66.81520739309832,69.8435215149633,13854700.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
2020-04-14,CVX,Chevron Corp,24.831,39.7583,60.6665,84.1884,99.9958,105.9423,110.6645,114.2103,117.1465,119.6029,67.7845687866211,69.76338886037139,67.56025019096448,68.46553769835675,14797600.0,29244.0,9451.0,2743.0,7031.0,3581.0,8492.0,8542.0,236677.0,32351.0,143930.0,4722.0,4288.0,2759.0,2779.0,-813.0,3.95,1.93,1865.65,1589.0,32.32,24.04,9.38,14.17,13.61,12.25,9.29,2.59,1.53,2.33,29244.0,2743.0,7031.0,3581.0,1.93,1866.98,13.67,18.25,22.32,16.93,149.83,0.33,66.74,135281.27,32351.0,0.0,984.0,8542.0,160074.27,0.55,4.24,2.32,1.64,3.8,0.66,2.59,-1.35,-3.51,1.01,0.78,0.0,10.98,33.33,8.38,43.69,15.84,23.11,12.75
