Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-06-30,AXP,American Express,7.8142,12.1358,16.8663,24.2498,32.1765,40.5049,46.4002,52.0248,56.3472,59.769,157.6583709716797,158.54576151665597,156.1984840179188,156.1984840179188,2331800.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-01,AXP,American Express,7.888,12.4304,17.021,24.2854,32.0834,40.4174,46.3159,52.1807,56.6988,60.2832,159.70562744140625,160.1169863073255,157.55313159566498,158.4715216485551,2685900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-02,AXP,American Express,7.5347,11.6955,16.87,24.1407,32.824,41.7113,47.9996,54.1592,58.86,62.5587,161.19801330566406,161.6572083066997,159.77257754713247,160.43267857224075,2028700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-06,AXP,American Express,8.2042,12.0751,16.513,23.788,32.5705,40.559,46.2109,52.1833,56.7813,60.428,162.2120819091797,165.06293893916714,160.5283571084411,165.06293893916714,4688100.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-07,AXP,American Express,7.9708,12.1984,16.7683,24.3549,33.1583,41.4713,47.3527,53.5182,58.2378,61.9619,163.57054138183594,167.18673311304607,162.03988647940542,162.25035390059088,3998900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-08,AXP,American Express,8.6062,12.9336,18.021,25.9184,34.8345,43.9823,50.4502,56.64,61.4051,65.183,160.24136352539062,162.67128583891457,158.41413014536138,159.71519493460377,4628400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-09,AXP,American Express,8.4211,12.3297,17.5663,25.2012,34.7622,42.6136,48.1683,53.695,58.0339,61.5327,164.48895263671875,164.84291395137913,161.87726174716764,162.6330205373323,3175200.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-12,AXP,American Express,8.5092,12.211,17.4393,25.0594,34.4033,42.5096,48.2381,54.9942,60.187,64.2989,166.07699584960938,166.55532819410993,162.5182020387217,162.69997066523905,3154100.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-13,AXP,American Express,8.4822,12.5867,17.6074,25.2643,34.1326,42.1353,47.7903,54.481,59.6333,63.7206,165.13949584960938,167.16763543127857,164.94816578276658,166.45969812665697,2675000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-14,AXP,American Express,8.5089,12.6537,17.4632,25.1531,34.1827,42.7335,48.7735,55.0962,59.9569,63.8068,165.04379272460938,166.98582083418648,163.5992197325037,165.36905520854327,3123100.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-15,AXP,American Express,8.1884,12.6384,17.8761,25.6692,34.6032,42.1442,47.4762,53.2473,57.7511,61.3645,165.3594970703125,165.75171849804624,163.68533386721867,163.7235940317983,3448200.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-16,AXP,American Express,8.2127,12.1442,18.0215,25.5727,34.5117,43.1758,49.2978,55.634,60.5076,64.3692,162.64260864257812,166.2588011135795,162.19297493238307,166.2109795424283,4359800.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-19,AXP,American Express,8.7741,13.2229,18.8966,26.8699,36.5424,45.1396,51.2119,58.3561,63.8448,68.1901,155.7545928955078,159.16989321954077,154.48222696680216,158.4715174091495,6739800.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-20,AXP,American Express,8.5731,13.0621,18.5753,26.6384,36.2276,45.0572,51.2942,58.5874,64.1801,68.6003,161.55198669433594,162.23122515296183,155.52500988653844,155.87897120576133,4243700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-21,AXP,American Express,8.6883,12.5185,18.0606,26.2303,35.1085,43.8435,50.008,56.6388,61.7328,65.7655,165.03424072265625,166.0961392431144,162.3842897155375,163.3409545232459,3384500.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-22,AXP,American Express,8.5485,13.1988,18.3072,26.0451,34.7979,43.1388,49.0243,55.4259,60.3725,64.308,163.49403381347656,165.7039421058286,161.72421241778036,164.78553733260642,3335900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-23,AXP,American Express,8.4769,12.7986,17.9743,25.8208,34.3804,43.0972,49.2446,55.8529,60.9374,64.9673,165.67520141601562,171.88396116162897,165.4551726015082,168.88003430328743,6326600.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-26,AXP,American Express,8.9253,12.8237,17.6659,24.9377,33.8738,42.6032,48.756,55.3668,60.4576,64.4952,165.1299285888672,167.82771600986817,164.83336480616455,165.74219353954138,3115900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-27,AXP,American Express,9.0881,12.8062,17.8007,25.6,34.3287,42.8898,48.9243,54.5603,58.8913,62.3206,165.44561767578125,167.53113999382046,162.59476057589814,163.07309298985723,7922600.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-28,AXP,American Express,8.7734,13.0644,17.9244,26.0233,34.6273,43.8031,50.2692,56.2253,60.7613,64.324,162.6521759033203,165.93352961481787,162.355612109867,165.50303331472279,7961700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-29,AXP,American Express,9.0408,13.3518,18.0977,25.7398,34.2972,42.7876,48.7736,54.4004,58.7292,62.1595,164.49850463867188,166.2874776887821,163.58967602471046,163.9627747019176,3186900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-07-30,AXP,American Express,8.3945,12.5346,18.0793,26.2096,34.736,43.0006,48.8272,54.3367,58.5841,61.956,163.14002990722656,165.7325976637142,162.46080614575087,164.8524678925847,3441900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-02,AXP,American Express,8.7378,12.7389,17.9054,25.2286,34.0277,41.6257,46.9804,52.1407,56.179,59.425,161.9346466064453,165.84740193746012,161.44673824065248,163.72360502089725,2895700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-03,AXP,American Express,8.8406,13.0813,18.2891,25.7184,34.1666,41.8808,47.3176,52.7512,56.9256,60.2302,161.71458435058594,162.9104151507923,158.13666793879668,162.3938226680225,3642000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-04,AXP,American Express,8.5691,12.5904,18.0873,25.7493,34.4639,42.5507,48.2471,53.4524,57.4528,60.6205,160.7770538330078,163.05392030168284,160.0691313560571,161.0066585971112,3544400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-05,AXP,American Express,8.5902,11.9238,17.7984,25.8271,34.7652,43.1168,48.9995,54.3376,58.4207,61.6397,162.27906799316406,163.1400605446995,161.02583933807574,161.35110189331823,2535400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-06,AXP,American Express,7.8439,11.8031,17.787,25.7599,34.6934,43.2003,49.1909,54.5964,58.7222,61.9692,163.93408203125,165.35951784983865,162.38428971399205,163.14004848915403,2828700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-09,AXP,American Express,8.6292,13.0587,18.165,26.0526,34.4749,43.0953,49.1607,54.6328,58.8008,62.0748,163.37918090820312,163.7044433721533,161.4754130794181,162.96782213277385,2560200.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-10,AXP,American Express,8.5267,12.8453,18.1483,26.1675,34.5125,43.2588,49.4124,54.8451,59.0169,62.3185,162.14512634277344,164.25934743007255,161.3702155730697,163.33138138260023,3389500.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
