Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM","Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2019-09-30,BMY,Bristol Myers Squibb Co,7.425,11.635,18.085,24.275,31.58,39.925,45.915,50.89,54.75,58.18,41.690975189208984,42.28292063528425,41.370339117996394,41.53476875704335,15950500.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-01,BMY,Bristol Myers Squibb Co,6.615,11.355,17.045,23.255,31.63,40.855,47.47,52.9,57.045,60.715,41.64165115356445,42.29114340813596,41.395005111117236,42.003393873593815,9932400.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-02,BMY,Bristol Myers Squibb Co,7.16,12.35,18.44,25.165,33.35,42.235,48.61,53.84,57.85,61.39,40.457759857177734,41.41144805335919,40.04668730475064,41.353898146918176,12596200.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-03,BMY,Bristol Myers Squibb Co,7.405,12.075,18.97,25.28,33.055,41.475,47.515,52.505,56.365,59.79,41.079551696777344,41.079551696777344,40.25049917751812,40.49092516712355,9227000.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-04,BMY,Bristol Myers Squibb Co,6.64,10.96,17.035,22.995,30.95,39.715,46.0,51.2,55.215,58.775,42.07441329956055,42.13244672007045,41.05467913013549,41.145875408817965,10081500.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-07,BMY,Bristol Myers Squibb Co,6.32,11.1,16.565,22.46,29.865,38.745,45.1,50.36,54.42,58.02,42.18218994140625,42.6879124467139,41.916893407897994,41.9915082556087,9367100.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-08,BMY,Bristol Myers Squibb Co,6.205,11.395,16.8,22.675,30.72,39.76,46.24,51.57,55.67,59.29,41.75108337402344,42.43919528747107,41.41946111718665,41.9334759315421,11120600.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-09,BMY,Bristol Myers Squibb Co,6.12,10.91,15.63,21.68,29.265,38.255,44.7,50.03,54.14,57.79,42.140743255615234,42.35629553025489,41.71792467783637,41.96663981398506,7815700.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-10,BMY,Bristol Myers Squibb Co,6.29,10.76,15.68,21.735,29.095,38.065,44.49,49.805,53.91,57.55,42.09927749633789,42.27338089412675,41.78423987908589,42.082696069758775,11166700.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-11,BMY,Bristol Myers Squibb Co,5.55,9.98,14.13,19.795,27.485,35.72,41.615,46.58,50.475,53.96,42.78739547729492,43.094143984125104,42.46406554271933,42.563550946607826,11271800.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
