Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM","Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2019-10-14,BMY,Bristol Myers Squibb Co,5.46,9.93,14.075,19.73,27.42,35.59,41.445,46.33,50.115,53.555,42.74594497680664,42.83713808870402,42.513808142876364,42.70448982470847,5653200.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-15,BMY,Bristol Myers Squibb Co,5.68,9.915,14.115,19.445,26.17,35.02,41.355,46.58,50.595,54.22,42.96979522705078,43.22679949375096,42.671335802742,42.81227321834087,7414300.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-16,BMY,Bristol Myers Squibb Co,5.565,9.53,14.23,19.415,26.4,35.11,41.335,46.495,50.465,54.05,42.704490661621094,43.168761175996245,42.52210127166783,43.0692757666959,8619300.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-17,BMY,Bristol Myers Squibb Co,5.665,9.565,14.255,19.16,26.205,34.91,41.14,46.3,50.27,53.865,43.45893096923828,43.732519815031566,43.03611558152105,43.193634419575645,8926000.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-18,BMY,Bristol Myers Squibb Co,5.535,9.485,14.07,18.91,26.07,34.675,40.83,45.93,49.87,53.425,43.96464157104492,44.0807083846927,43.42575948445402,43.48379289127791,10859800.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-21,BMY,Bristol Myers Squibb Co,5.75,9.345,14.25,19.285,25.92,34.43,40.515,45.55,49.445,52.97,44.1055908203125,44.24652821828576,43.57499776015698,44.064138830472366,13098200.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-22,BMY,Bristol Myers Squibb Co,5.025,8.96,13.08,18.09,25.285,33.775,39.85,44.91,48.85,52.385,45.117034912109375,47.56274038602538,45.075582920195735,46.41865022880441,26890200.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-23,BMY,Bristol Myers Squibb Co,5.27,8.805,13.355,18.32,25.47,34.075,40.225,45.35,49.325,52.905,45.40720748901367,45.44865948303458,44.66105894629954,45.10874807192802,13025500.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-24,BMY,Bristol Myers Squibb Co,5.675,9.195,13.69,18.755,25.98,33.88,39.525,44.305,48.05,51.46,45.07557678222656,45.573010105207246,44.652761462147616,45.473521543060805,14594500.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-25,BMY,Bristol Myers Squibb Co,6.14,9.24,13.45,19.15,25.445,32.37,37.33,42.29,46.19,49.33,45.58130645751953,45.805151013930306,45.1004576479805,45.183361633650705,12353100.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-28,BMY,Bristol Myers Squibb Co,5.795,9.19,13.665,18.735,25.015,32.555,37.945,43.73,48.19,51.71,46.08702850341797,46.36890647932143,45.35746141944708,45.48182055921613,13931300.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-29,BMY,Bristol Myers Squibb Co,5.67,9.18,13.255,18.24,24.93,32.93,38.645,44.665,49.275,52.89,46.23625183105469,46.52641890039519,45.8714699206575,46.111892708432265,9118900.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-30,BMY,Bristol Myers Squibb Co,5.24,8.675,13.155,17.71,24.27,33.07,39.35,44.79,48.94,52.18,47.148216247558594,47.18966824132366,46.294293158177574,46.62591543346688,14159000.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-10-31,BMY,Bristol Myers Squibb Co,5.98,9.025,14.265,19.265,25.34,33.515,39.355,44.445,48.36,51.44,47.56273651123047,48.267432966689896,46.68394296895062,46.80829893456063,25041900.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-11-01,BMY,Bristol Myers Squibb Co,5.04,8.96,13.025,18.24,24.845,33.345,39.415,44.685,48.73,51.905,47.388641357421875,48.46640898818532,47.330607934713534,48.07675645894133,17122200.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-11-04,BMY,Bristol Myers Squibb Co,5.675,8.94,13.59,17.8,24.13,32.275,38.09,43.18,47.115,50.22,46.9575309753418,47.454964350449025,46.86633469844293,47.33889434911509,12960100.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-11-05,BMY,Bristol Myers Squibb Co,5.98,8.53,13.295,17.665,23.805,31.76,37.44,42.425,46.285,49.35,46.750267028808594,47.14821182427127,46.40206651874779,46.99898213064975,10503300.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
2019-11-06,BMY,Bristol Myers Squibb Co,5.56,8.73,13.175,17.63,24.03,32.035,37.75,42.765,46.645,49.71,47.22282409667969,47.37205378216579,46.54300137950252,46.932657020781114,13475600.0,6007.0,4208.0,2167.0,2354.0,1366.0,30489.0,32542.0,57433.0,24959.0,17648.0,2556.0,180.0,190.0,2085.0,1695.0,0.25,3.23,0.83,1634.0,1918.0,1.17,70.05,39.19,36.07,22.46,-1.26,22.74,9.14,36.19,12.47,18.9,6007.0,2167.0,2354.0,1366.0,0.83,1629.0,43.46,58.43,140.58,10.37,202.54,0.51,49.37,82621.03,24959.0,0.0,106.0,32542.0,75144.03,0.53,27.34,14.5,2.89,41.96,0.86,36.19,0.53,19.06,3.83,3.72,0.52,4.38,83.59,3.9,93.87,5.77,63.44,53.16
